const_velocity_final_rollout_error_km,const_velocity_mean_rollout_error_km,direct_final_rollout_error_km,direct_mean_rollout_error_km,direct_model,lat_max,lat_min,lon_max,lon_min,lstm_final_rollout_error_km,lstm_mean_rollout_error_km,lstm_model,observed_days,observed_displacement_km,path_copy_index,path_id,path_year,persistence_final_rollout_error_km,persistence_mean_rollout_error_km,records,rollout_steps,setup,source_bird_id,transformer_final_rollout_error_km,transformer_mean_rollout_error_km,transformer_model
14424.17723858551,6549.373788543222,2906.400788664744,1713.6626367877486,direct_transformer_2l_k7,48.2204565,38.9345508,7.8322641,-5.755673,273.74181622247164,328.5105236821361,triline_lstm_2l_k7,65,139.79296078423565,1,Angela_DER_AY470_eobs_4001__2019__southbound_01,2019,1353.981894397694,1213.4503903849188,185,120,setup_30km,Angela / DER AY470 (eobs 4001),265.8175586258965,335.8935773252928,triline_transformer_4l_k7
3163.500578504747,1315.6575135464705,237.46367228964118,197.66936312805774,direct_transformer_2l_k7,48.1524172,36.284087,7.795102,-6.0298849,977.527466180741,823.0304770962568,triline_lstm_2l_k7,62,160.1834623140796,1,Angela_DER_AY470_eobs_4001__2020__southbound_01,2020,1570.58449784494,1305.780991274527,93,31,setup_30km,Angela / DER AY470 (eobs 4001),1131.3566741609632,980.3189667092215,triline_transformer_4l_k7
545.7114109333396,358.09940180587813,48.08164462350689,118.56248731979257,direct_transformer_2l_k7,48.1519085,36.5685474,7.833475,-6.1475794,1173.011117073536,653.4736483976789,triline_lstm_2l_k7,61,93.2700142791398,1,Angela_DER_AY470_eobs_4001__2022__southbound_01,2022,1623.3214561824398,929.6814389081828,73,12,setup_30km,Angela / DER AY470 (eobs 4001),1306.15316507976,736.5246514759974,triline_transformer_4l_k7
1002.3008659702691,560.6692514022064,433.8160380315993,373.25427913055063,direct_transformer_2l_k7,48.186889,36.573646,7.7548651,-6.1272018,742.9916603205141,448.4644872588012,triline_lstm_2l_k7,30,751.7825525926037,1,Angela_DER_AY470_eobs_4001__2023__southbound_01,2023,1010.4482979451984,564.0995347913879,66,36,setup_30km,Angela / DER AY470 (eobs 4001),864.8868718290562,502.7267701202702,triline_transformer_4l_k7
6929.809173723523,3109.9018102269038,1054.7932188427603,730.6942666037996,direct_transformer_2l_k7,47.6932465,37.153416,7.6448794,-6.3756002,764.906354623992,602.8464953183566,triline_lstm_2l_k7,52,117.55992244280759,1,Ed_plus_AAL16_e-obs_7210__2021__southbound_01,2021,1502.204974242499,1250.3476848495588,117,65,setup_30km,"Ed + (AAL16, e-obs 7210)",577.5883779687869,477.1946989894126,triline_transformer_4l_k7
15016.928936502958,7276.836339085537,2906.251889208185,1553.5624926222513,direct_transformer_2l_k7,47.1668648,40.16209895,7.5708743,-3.65722925,248.7790694308852,286.50580035052883,triline_lstm_2l_k7,33,177.8492557794077,1,Europa_DER_A1A26_eobs_4004__2019__southbound_01,2019,999.78754145019,944.2382082791298,114,81,setup_30km,Europa / DER A1A26 (eobs 4004),237.18526677042948,322.95739991903434,triline_transformer_4l_k7
3136.535116159868,1537.6318009538923,1385.204075159017,741.3803023037353,direct_transformer_2l_k7,47.1841832,37.7933722,7.5979627,-4.7490658,333.1807102055081,278.815537483584,triline_lstm_2l_k7,30,897.068556959368,1,Europa_DER_A1A26_eobs_4004__2020__southbound_01,2020,546.408675490748,431.71682388896477,70,40,setup_30km,Europa / DER A1A26 (eobs 4004),376.7149119587682,318.66586375304183,triline_transformer_4l_k7
13208.473771464045,6572.798251501954,2165.975940475831,1108.478167636948,direct_transformer_2l_k7,47.17941505,40.13243435,7.4065439,-3.6785956,247.41184944213714,229.81989549431555,triline_lstm_2l_k7,30,812.7816001605594,1,Europa_DER_A1A26_eobs_4004__2021__southbound_01,2021,402.54623806254637,331.05032532228853,107,77,setup_30km,Europa / DER A1A26 (eobs 4004),265.2853700948288,242.47267061235044,triline_transformer_4l_k7
15976.214123682856,9200.861916547636,2477.0310219953117,1400.5223779327637,direct_transformer_2l_k7,47.1788117,39.8411549,7.4200194,-4.2708803,395.0007802931958,378.89683611116357,triline_lstm_2l_k7,48,281.72400597948484,1,Europa_DER_A1A26_eobs_4004__2022__southbound_01,2022,965.8790418742487,881.2399453297867,119,71,setup_30km,Europa / DER A1A26 (eobs 4004),438.4132414467632,440.5640472456792,triline_transformer_4l_k7
23.652237610373362,18.634462866984677,1340.5092799869046,639.3663398308784,direct_transformer_2l_k7,47.1771678,40.1542867,7.4021174,-3.6455912,59.61975796388881,42.11137351631129,triline_lstm_2l_k7,30,1174.3215620171952,1,Europa_DER_A1A26_eobs_4004__2023__southbound_01,2023,10.285667770674586,4.574958756072823,98,68,setup_30km,Europa / DER A1A26 (eobs 4004),105.54210420147727,66.28408458136794,triline_transformer_4l_k7
