setup_fly_threshold_km,model,model_family,kind,k,n_layers,feature_mode,params,best_epoch,best_test_loss,final_test_loss,raw_pos_weight,pos_weight,train_samples,test_samples,train_fly_rate,test_fly_rate,runtime_seconds,mean_error_km,median_error_km,p90_error_km,p95_error_km,stationary_error_mean_km,fly_error_mean_km,migration50_error_mean_km,gated_mean_error_km,gated_median_error_km,gated_p90_error_km,gated_p95_error_km,gated_stationary_error_mean_km,gated_fly_error_mean_km,gated_migration50_error_mean_km,fly_threshold,fly_tp,fly_fp,fly_tn,fly_fn,fly_accuracy,fly_precision,fly_recall,fly_specificity,fly_f1,fly_false_positive_rate,fly_roc_auc,fly_pr_auc,fixed_0_5_fly_threshold,fixed_0_5_fly_tp,fixed_0_5_fly_fp,fixed_0_5_fly_tn,fixed_0_5_fly_fn,fixed_0_5_fly_accuracy,fixed_0_5_fly_precision,fixed_0_5_fly_recall,fixed_0_5_fly_specificity,fixed_0_5_fly_f1,fixed_0_5_fly_false_positive_rate,fixed_0_5_fly_roc_auc,fixed_0_5_fly_pr_auc,setup,test,runtime_seconds_final_runner
10.0,triline_lstm_4l_k7,triline,triline_lstm,7,4,full,2161348,4,2.236693007393792,2.236693007393792,4.262011173184358,4.262011173184358,9419,2897,0.1900414079427719,0.22229893505573273,16.79933261871338,17.86072171762639,2.406347826649654,53.537690190293844,99.03196700779229,3.669543434666967,67.50780971686177,100.2425211654959,17.333205316048602,1.4073379342353958,53.56528221890909,99.03196700779229,2.85041799180195,68.00047215071895,100.61149529899635,0.8034465141687542,396,100,2153,248,0.8798757335174319,0.7983870967741935,0.6149068322981367,0.9556147359076786,0.6947368421052632,0.04438526409232135,0.8862910184626157,0.7714837022511529,0.5,486,295,1958,158,0.843631342768381,0.6222791293213829,0.7546583850931677,0.869063470927652,0.6821052631578948,0.13093652907234798,0.8862910184626157,0.7714837022511529,fly_threshold_10km,with_weather,16.80733060836792
10.0,triline_transformer_v2_k7,triline,triline_transformer,7,4,full,3291460,17,2.2039620388694003,2.2039620388694003,4.262011173184358,4.262011173184358,9419,2897,0.1900414079427719,0.22229893505573273,36.857654333114624,17.964286654006653,2.4123910612283352,57.602402516764656,98.76349086916129,3.978891783824864,66.89145224798114,97.60055672288993,17.43912367113556,1.5141575679107058,57.602402516764656,98.76349086916129,3.2070371420012647,67.22932700986159,97.83456857374213,0.7198989772796632,424,127,2126,220,0.8802209181912323,0.7695099818511797,0.6583850931677019,0.9436307146027519,0.709623430962343,0.056369285397248114,0.8835048782437771,0.7554363614196014,0.5,482,287,1966,162,0.845012081463583,0.6267880364109233,0.7484472049689441,0.8726142920550377,0.6822363765038925,0.12738570794496226,0.8835048782437771,0.7554363614196014,fly_threshold_10km,with_weather,36.867647647857666
10.0,triline_lstm_4l_k14,triline,triline_lstm,14,4,full,2161348,4,2.213995057381004,2.213995057381004,4.338499690018599,4.338499690018599,8611,2608,0.18731854856014252,0.22546012699604034,18.769850730895996,18.68875514139441,2.7364050238219155,59.059378216206916,97.81341588458477,4.3476561211980185,67.95579599308951,96.04847659256997,18.02302046324037,1.5745196114058955,59.059378216206916,97.81341588458477,3.364362341326668,68.38099564396433,96.3631245998879,0.7163258147239685,399,123,1897,189,0.8803680981595092,0.764367816091954,0.6785714285714286,0.939108910891089,0.7189189189189189,0.06089108910891089,0.8885330369771671,0.7850513101472936,0.5,477,382,1638,111,0.8109662576687117,0.5552968568102444,0.8112244897959183,0.810891089108911,0.6592950932964754,0.1891089108910891,0.8885330369771671,0.7850513101472936,fly_threshold_10km,with_weather,18.776857137680054
10.0,triline_transformer_v2_k14,triline,triline_transformer,14,4,full,3293252,30,2.197684641264699,2.197684641264699,4.338499690018599,4.338499690018599,8611,2608,0.18731854856014252,0.22546012699604034,44.529011487960815,18.849693397751334,2.5083075899868135,61.35857847181903,102.4426739567534,4.210240560898298,69.14169123864102,96.32237528275188,18.30804510872647,1.6244244283139087,62.045213885658995,102.4426739567534,3.4164120159404376,69.46637648190298,96.59241130767985,0.7561529447697104,402,129,1891,186,0.879217791411043,0.7570621468926554,0.6836734693877551,0.9361386138613862,0.7184986595174263,0.06386138613861386,0.8893800094295143,0.780544698762805,0.5,469,336,1684,119,0.8255368098159509,0.5826086956521739,0.7976190476190477,0.8336633663366336,0.6733668341708543,0.16633663366336635,0.8893800094295143,0.780544698762805,fly_threshold_10km,with_weather,44.53752088546753
10.0,triline_lstm_4l_k30,triline,triline_lstm,30,4,full,2161348,2,2.3500489679721035,2.3500489679721035,4.682866556836903,4.682866556836903,6899,2024,0.1759675294160843,0.2139328122138977,20.199857234954834,17.034153089857593,2.4680514035811294,51.57230995226879,87.84093367386434,4.040580419079182,64.777280385951,96.24276627392592,16.568070149176023,1.9569244411350817,51.80835096133126,88.03044155089307,3.4177122062475207,64.88728374547914,96.32302141243552,0.5441720296815038,331,180,1411,102,0.8606719367588933,0.6477495107632094,0.7644341801385681,0.8868636077938403,0.701271186440678,0.11313639220615965,0.8615407394074347,0.749050205462432,0.5,334,223,1368,99,0.8409090909090909,0.599640933572711,0.7713625866050808,0.8598365807668134,0.6747474747474747,0.14016341923318668,0.8615407394074347,0.749050205462432,fly_threshold_10km,with_weather,20.20686411857605
10.0,triline_transformer_v2_k30,triline,triline_transformer,30,4,full,3297348,10,2.3877153820671113,2.3877153820671113,4.682866556836903,4.682866556836903,6899,2024,0.1759675294160843,0.2139328122138977,22.863750219345093,17.33400704584834,2.417157897047641,52.77521638980788,95.33075408474954,4.037185482069568,66.19138142915557,99.55904127995102,16.830968273460968,1.7030451185945192,53.043193512924624,95.33075408474954,3.327796345036701,66.44654919291365,99.69939024967624,0.6221184729784727,290,121,1470,143,0.8695652173913043,0.7055961070559611,0.6697459584295612,0.9239472030169704,0.6872037914691944,0.07605279698302954,0.8506378982236977,0.7317102068398492,0.5,319,207,1384,114,0.8414031620553359,0.6064638783269962,0.7367205542725174,0.8698931489629164,0.6652763295099062,0.13010685103708358,0.8506378982236977,0.7317102068398492,fly_threshold_10km,with_weather,22.874823093414307
