setup_fly_threshold_km,model,model_family,kind,k,n_layers,params,best_epoch,best_test_loss,final_delta_mse_norm,train_samples,test_samples,train_fly_rate,test_fly_rate,runtime_seconds,mean_error_km,median_error_km,p90_error_km,p95_error_km,stationary_error_mean_km,fly_error_mean_km,migration50_error_mean_km,setup,test,runtime_seconds_final_runner,feature_mode,final_test_loss,raw_pos_weight,pos_weight,gated_mean_error_km,gated_median_error_km,gated_p90_error_km,gated_p95_error_km,gated_stationary_error_mean_km,gated_fly_error_mean_km,gated_migration50_error_mean_km,fly_threshold,fly_tp,fly_fp,fly_tn,fly_fn,fly_accuracy,fly_precision,fly_recall,fly_specificity,fly_f1,fly_false_positive_rate,fly_roc_auc,fly_pr_auc,fixed_0_5_fly_threshold,fixed_0_5_fly_tp,fixed_0_5_fly_fp,fixed_0_5_fly_tn,fixed_0_5_fly_fn,fixed_0_5_fly_accuracy,fixed_0_5_fly_precision,fixed_0_5_fly_recall,fixed_0_5_fly_specificity,fixed_0_5_fly_f1,fixed_0_5_fly_false_positive_rate,fixed_0_5_fly_roc_auc,fixed_0_5_fly_pr_auc
10.0,direct_mlp_sequence_k7,direct,direct_mlp_sequence,7,0,24898,11,1.1594843508361221,1.1594843508361221,9852,2464,0.19315874576568604,0.2155032455921173,8.539312839508057,17.961875995848967,4.667063715308775,55.31655141658931,94.94971177075857,6.499910126807397,59.686885458857155,83.63732979465271,fly_threshold_10km,with_weather,8.541314363479614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,direct_transformer_4l_k7,direct,direct_transformer,7,4,805058,12,1.0625152690457058,1.0625152690457058,9852,2464,0.19315874576568604,0.2155032455921173,27.240715265274048,15.98486087920484,2.7860138176651645,52.389296101972924,88.33719291794198,4.363872792964481,58.2887591291156,80.59266313475796,fly_threshold_10km,with_weather,27.246721744537354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,triline_lstm_4l_k7,triline,triline_lstm,7,4,2161348,3,2.2757764327061643,,9852,2464,0.19315874576568604,0.2155032455921173,17.980048656463623,17.817439935762245,2.263806816907118,52.02400674107942,105.27312395699079,3.5998241804128908,69.57384531258013,106.32922030696326,fly_threshold_10km,with_weather,17.988054275512695,full,2.2757764327061643,4.17708880714661,4.17708880714661,17.315827943168483,1.6115557347168146,52.42863237454258,105.27312395699079,2.916657911946473,69.7331455897827,106.45623216274672,0.6010851030983031,368,141,1792,163,0.8766233766233766,0.7229862475442044,0.6930320150659134,0.9270563890325918,0.7076923076923076,0.07294361096740817,0.8779528517969688,0.7610891783957213,0.5,396,218,1715,135,0.856737012987013,0.6449511400651465,0.7457627118644068,0.8872219348163477,0.6917030567685589,0.11277806518365235,0.8779528517969688,0.7610891783957213
10.0,triline_transformer_v2_k7,triline,triline_transformer,7,4,3291460,10,2.2326718553320153,,9852,2464,0.19315874576568604,0.2155032455921173,33.04068207740784,17.89184392516588,2.70517325390178,55.892993628707245,96.67405843778234,4.440500629997929,66.85878665503337,97.9310113736296,fly_threshold_10km,with_weather,33.050687074661255,full,2.2326718553320153,4.17708880714661,4.17708880714661,17.187468466199583,1.63655046863433,55.892993628707245,96.67405843778234,3.4808704708581573,67.08361521760254,98.06496474612256,0.6746504853479564,383,152,1781,148,0.8782467532467533,0.7158878504672898,0.7212806026365348,0.9213657527159855,0.7185741088180113,0.07863424728401448,0.880400185888274,0.7521818694937102,0.5,430,335,1598,101,0.823051948051948,0.5620915032679739,0.8097928436911488,0.826694257630626,0.6635802469135802,0.17330574236937402,0.880400185888274,0.7521818694937102
10.0,direct_mlp_sequence_k14,direct,direct_mlp_sequence,14,0,41026,7,1.3770876338775144,1.3770876338775144,8975,2244,0.19153203070163727,0.21479500830173492,5.906663417816162,18.912614317132405,4.425400935160169,60.60275777035981,98.30579813071733,6.334509330568664,64.8931557825376,90.84594784909265,fly_threshold_10km,with_weather,5.9106669425964355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,direct_transformer_4l_k14,direct,direct_transformer,14,4,805954,4,1.2533035796806349,1.2533035796806349,8975,2244,0.19153203070163727,0.21479500830173492,20.375666618347168,17.97674234802225,4.426381697763494,56.59790559758495,93.96350528441661,5.767807273319333,62.60774567089888,86.61823995707802,fly_threshold_10km,with_weather,20.382172346115112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,triline_lstm_4l_k14,triline,triline_lstm,14,4,2161348,5,2.2102060572986297,,8975,2244,0.19153203070163727,0.21479500830173492,22.72785997390747,17.72932754931651,2.435175443271596,60.12414154856437,99.40127969148168,3.929743661437715,68.1751093137199,94.90482986463881,fly_threshold_10km,with_weather,22.732359647750854,full,2.2102060572986297,4.221058755090168,4.221058755090168,17.161011968984656,1.5436732940886853,60.12414154856437,99.40127969148168,3.12009104544741,68.48902580150049,95.11597881450167,0.6400007939338684,318,102,1660,164,0.8814616755793226,0.7571428571428571,0.6597510373443983,0.94211123723042,0.70509977827051,0.05788876276958002,0.877364933284979,0.7708840311137157,0.5,346,177,1585,136,0.8605169340463458,0.6615678776290631,0.7178423236514523,0.8995459704880817,0.6885572139303483,0.10045402951191827,0.877364933284979,0.7708840311137157
10.0,triline_transformer_v2_k14,triline,triline_transformer,14,4,3293252,21,2.1706845020865373,,8975,2244,0.19153203070163727,0.21479500830173492,37.94770431518555,18.160053996870822,2.3566457830658862,58.96018529723751,97.356205719752,4.1618479903351995,69.33191910789941,98.79420791053174,fly_threshold_10km,with_weather,37.95921087265015,full,2.1706845020865373,4.221058755090168,4.221058755090168,17.692928616150656,1.6861914625786958,58.96018529723751,97.48918423847739,3.49370630384493,69.59962926818943,99.02274734027203,0.7017517365608364,346,147,1615,136,0.8738859180035651,0.7018255578093306,0.7178423236514523,0.916572077185017,0.7097435897435896,0.08342792281498297,0.895953532622774,0.7721700164437811,0.5,377,258,1504,105,0.8382352941176471,0.5937007874015748,0.7821576763485477,0.8535754824063564,0.675022381378693,0.14642451759364358,0.895953532622774,0.7721700164437811
10.0,direct_mlp_sequence_k30,direct,direct_mlp_sequence,30,0,77890,5,1.3564535317300748,1.3564535317300748,7138,1785,0.18128326535224915,0.19775910675525665,4.419281959533691,17.65549291887611,4.6628552615806855,51.3861063270858,94.85776668310075,6.098048330949479,64.54008399511108,95.75285125928468,fly_threshold_10km,with_weather,4.422786474227905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,direct_transformer_4l_k30,direct,direct_transformer,30,4,808002,12,1.111192658368279,1.111192658368279,7138,1785,0.18128326535224915,0.19775910675525665,18.79477024078369,15.411415348060393,2.949696963370826,46.715051613395964,81.22130624399291,5.1619218212629905,56.99009730379377,83.54983399875636,fly_threshold_10km,with_weather,18.80577516555786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
