condition,prediction_mode,setup,path_id,source_bird_id,path_year,path_copy_index,records,observed_days,rollout_steps,observed_displacement_km,direct_model,direct_mean_rollout_error_km,direct_final_rollout_error_km,lstm_model,lstm_mean_rollout_error_km,lstm_final_rollout_error_km,transformer_model,transformer_mean_rollout_error_km,transformer_final_rollout_error_km,persistence_mean_rollout_error_km,persistence_final_rollout_error_km,const_velocity_mean_rollout_error_km,const_velocity_final_rollout_error_km,lat_min,lat_max,lon_min,lon_max
with_weather,true_context,fly_threshold_10km,Angela_DER_AY470_eobs_4001__2022__southbound_01,Angela / DER AY470 (eobs 4001),2022,1,73,61,12,93.2700142791398,direct_transformer_4l_k30,85.87211932971907,69.34237479694336,triline_lstm_4l_k30,101.09710219471977,46.662103306360265,triline_transformer_v2_k30,102.09240705085894,74.71492533714964,144.63812410904657,29.100692126253723,120.38864089103807,244.06807096191787,36.5685474,48.1519085,-6.1475794,7.833475
with_weather,true_context,fly_threshold_10km,Angela_DER_AY470_eobs_4001__2023__southbound_01,Angela / DER AY470 (eobs 4001),2023,1,66,60,6,1715.7511651623795,direct_transformer_4l_k30,9.203613832445571,12.936269111354775,triline_lstm_4l_k30,2.3208627895093015,1.985446349107415,triline_transformer_v2_k30,3.0347382802313287,2.6685663789931167,1.3140109987711395,1.312399558781437,2.5642149654878446,1.315551689572061,36.573646,48.186889,-6.1272018,7.7548651
with_weather,true_context,fly_threshold_10km,Baunach_1_9698_ABR25__2023__southbound_01,Baunach 1 9698 ABR25,2023,1,161,60,101,1028.6729764173822,direct_transformer_4l_k30,13.157142433995526,0.9330773630093291,triline_lstm_4l_k30,13.17344454057978,0.6726572597399502,triline_transformer_v2_k30,14.075591399784216,0.7029982466848907,16.073343083447075,0.25625026396121625,17.12110804678205,5.3984335789342035,33.869357,49.9859253,-6.8743279,10.8513108
with_weather,true_context,fly_threshold_10km,Baunach_2_plus_9704_ABR20__2023__southbound_01,Baunach 2 + 9704 ABR20,2023,1,71,60,11,2018.863798739916,direct_transformer_4l_k30,10.043798551837973,10.112150231677637,triline_lstm_4l_k30,8.536206072252426,7.302538207055295,triline_transformer_v2_k30,9.352230300709742,12.050856941798255,8.122454719943052,9.144398646723413,13.419904244968858,38.372303421018735,36.2634553,49.9913684,-6.127844,12.01050775
with_weather,true_context,fly_threshold_10km,Bembo_Sparky_DER_AU891_eobs_3042__2021__southbound_01,Bembo Sparky / DER AU891 (eobs 3042),2021,1,124,61,63,82.92444060987937,direct_transformer_4l_k30,18.2980332113513,1.0417019057179107,triline_lstm_4l_k30,15.97803787726389,0.6813975337769234,triline_transformer_v2_k30,17.71020926433278,0.9053839555149085,24.930544037392597,0.18464031221602772,20.33635785695587,2.9771743935406825,40.2916371,49.2162368,-3.6336399,10.69208295
with_weather,true_context,fly_threshold_10km,Bembo_Sparky_DER_AU891_eobs_3042__2023__southbound_01,Bembo Sparky / DER AU891 (eobs 3042),2023,1,122,96,26,116.44474629964371,direct_transformer_4l_k30,45.35051085541709,2.100884709822189,triline_lstm_4l_k30,45.23186709733372,2.25902629224211,triline_transformer_v2_k30,47.16965986994368,2.076661087880587,58.41211080131314,2.599931537976855,58.97025813591187,2.495279718293338,40.23583825,49.2573709,-3.64022725,10.7623104
with_weather,true_context,fly_threshold_10km,Ed_plus_AAL16_e-obs_7210__2021__southbound_01,"Ed + (AAL16, e-obs 7210)",2021,1,117,60,57,896.8043541795511,direct_transformer_4l_k30,18.13525857806761,0.40006554607876066,triline_lstm_4l_k30,15.865029785134311,1.1989039855266113,triline_transformer_v2_k30,17.146170399721633,0.7244833688314235,17.285949445829804,1.493866188539327,24.245572093505096,1.4904815215904468,37.153416,47.6932465,-6.3756002,7.6448794
with_weather,true_context,fly_threshold_10km,Elfie_plus_DER_AU860_eobs_4408__2021__southbound_01,Elfie + / DER AU860 (eobs 4408),2021,1,113,60,53,809.0909760424355,direct_transformer_4l_k30,6.3921528096728695,14.705680202451065,triline_lstm_4l_k30,6.234880434426056,15.586609454872837,triline_transformer_v2_k30,6.2196800801279455,15.272656296481369,5.71228223151456,16.335138361344423,10.48134497592272,18.101795693180197,43.5767606,49.4722197,4.3798563,10.9102798
with_weather,true_context,fly_threshold_10km,Europa_DER_A1A26_eobs_4004__2021__southbound_01,Europa / DER A1A26 (eobs 4004),2021,1,107,60,47,1172.2520860572274,direct_transformer_4l_k30,4.400933135472844,7.383870514368823,triline_lstm_4l_k30,4.4113301239467635,8.390049251780578,triline_transformer_v2_k30,4.528353327111408,7.556087199615681,4.114148092279917,8.4150557042822,7.155415697395111,8.605098282273273,40.13243435,47.17941505,-3.6785956,7.4065439
with_weather,true_context,fly_threshold_10km,Europa_DER_A1A26_eobs_4004__2022__southbound_01,Europa / DER A1A26 (eobs 4004),2022,1,119,60,59,1172.634341653384,direct_transformer_4l_k30,3.77585176906223,1.1597843495307032,triline_lstm_4l_k30,4.604993398920912,1.6061982425685535,triline_transformer_v2_k30,4.580578904983578,1.2940037062305574,3.7613480461856756,1.7585459657168532,6.4574078255474054,1.934815319497642,39.8411549,47.1788117,-4.2708803,7.4200194
with_weather,true_context,fly_threshold_10km,Europa_DER_A1A26_eobs_4004__2023__southbound_01,Europa / DER A1A26 (eobs 4004),2023,1,98,60,38,1169.0807877025973,direct_transformer_4l_k30,5.595411038053885,9.232991770713117,triline_lstm_4l_k30,5.4028117673198155,10.367003502110201,triline_transformer_v2_k30,5.766117477589733,8.84979385218807,4.900230132960836,9.90833206799913,8.890566833501994,19.586986213340005,40.1542867,47.1771678,-3.6455912,7.4021174
with_weather,true_context,fly_threshold_10km,Frensdorf_3_plus_12173_ABR24__2023__southbound_01,Frensdorf 3 + 12173 ABR24,2023,1,64,60,4,2140.7502597821444,direct_transformer_4l_k30,3.210876987924043,2.965850309120481,triline_lstm_4l_k30,2.5912214247215433,2.8608411556050366,triline_transformer_v2_k30,2.5064586257317183,3.432181289917324,0.00965428057224188,0.005182214814613921,0.015432968587040383,0.003408977359100293,35.0020275,49.8202755,-5.9740778500000005,10.8715145
with_weather,true_context,fly_threshold_10km,Loriana_plus_A3M19_e-obs_7990__2021__southbound_01,"Loriana + (A3M19, e-obs 7990)",2021,1,109,60,49,1241.738343167918,direct_transformer_4l_k30,3.5600052537973212,12.897639657748364,triline_lstm_4l_k30,3.44699644701704,13.486358506334037,triline_transformer_v2_k30,3.4711014876724864,13.035270098906663,3.0245884189634413,13.170621783941685,5.320353084024762,13.247098863926357,41.4703578,48.6305565,-0.8647816,11.4545154
