epoch,train_loss,train_fly_loss,train_distance_loss,train_direction_loss,test_loss,fixed_accuracy,fixed_precision,fixed_recall,fixed_f1,fixed_false_positive_rate,lr
1,3.220856034633864,1.039084223328429,2.0318178032791105,0.6694961332504481,2.605732205985249,0.8260869565217391,0.453125,0.7631578947368421,0.5686274509803922,0.16279069767441862,0.001
2,2.727585685162744,0.9381936307280441,1.6547686509711885,0.6037202345196894,2.1210142897051787,0.8801054018445322,0.592,0.6491228070175439,0.6192468619246863,0.07906976744186046,0.001
3,2.504490877431963,0.8938083979228995,1.477661653984666,0.5799250292416418,2.0083028051378857,0.8840579710144928,0.6031746031746031,0.6666666666666666,0.6333333333333333,0.07751937984496124,0.001
4,2.375032163082944,0.8466139443628944,1.3672046855146092,0.5845204902941191,2.0644975899079414,0.9011857707509882,0.6788990825688074,0.6491228070175439,0.6636771300448431,0.05426356589147287,0.001
5,2.258517722111899,0.819510784669556,1.2658678212261734,0.5828945106831943,1.923002321572486,0.9038208168642952,0.6589147286821705,0.7456140350877193,0.6995884773662551,0.06821705426356589,0.001
6,2.2176772882315023,0.8065408693851908,1.255706536192097,0.5587003379618025,2.0011770593319014,0.9090909090909091,0.6991150442477876,0.6929824561403509,0.6960352422907489,0.05271317829457364,0.001
7,2.1558723827026247,0.7887696216415345,1.2100103610897472,0.5514772019879951,1.8917516754235832,0.9064558629776021,0.6837606837606838,0.7017543859649122,0.6926406926406926,0.05736434108527132,0.001
8,2.0970804828878995,0.780988083788164,1.1669429516265624,0.539643478676544,1.943894510055562,0.9143610013175231,0.7247706422018348,0.6929824561403509,0.7085201793721974,0.046511627906976744,0.001
9,2.092033462716218,0.774117288477854,1.1764370549287178,0.5285377719694736,1.9296595736140476,0.8801054018445322,0.5741935483870968,0.7807017543859649,0.6617100371747212,0.10232558139534884,0.001
10,2.0831732118715363,0.7613151673825708,1.1768711883558758,0.5256444402075898,1.9245222016913774,0.9051383399209486,0.6615384615384615,0.7543859649122807,0.7049180327868853,0.06821705426356589,0.001
11,2.0609433708354423,0.7618585425440407,1.1545413857515676,0.5254727126622097,1.9235467329640947,0.8959156785243741,0.624113475177305,0.7719298245614035,0.6901960784313725,0.08217054263565891,0.001
12,2.042129886217177,0.7528496688637764,1.1600200960905764,0.5056849720452117,1.90770795725394,0.8787878787878788,0.5679012345679012,0.8070175438596491,0.6666666666666666,0.10852713178294573,0.0005
13,1.9635760147816035,0.7385965332786831,1.1172436123392664,0.47703414509841174,1.9013385160167227,0.8827404479578392,0.5816993464052288,0.7807017543859649,0.6666666666666666,0.09922480620155039,0.0005
14,1.9123598486135944,0.7169581648543295,1.0860478947589471,0.4678328704448804,1.8956022308120928,0.9011857707509882,0.648854961832061,0.7456140350877193,0.6938775510204082,0.07131782945736434,0.0005
15,1.8694307302587543,0.7091251136916249,1.061549902276713,0.4533182586670079,1.910854444987532,0.8985507246376812,0.6330935251798561,0.7719298245614035,0.6956521739130435,0.07906976744186046,0.0005
16,1.8562182113749337,0.6986150269142047,1.0494728441329588,0.4574378503948951,1.907923862868147,0.8840579710144928,0.5866666666666667,0.7719298245614035,0.6666666666666666,0.09612403100775194,0.0005
17,1.8194622308005997,0.6918999498781889,1.0361758144311373,0.4373364490307953,1.9310200519084302,0.8853754940711462,0.593103448275862,0.7543859649122807,0.6640926640926641,0.09147286821705426,0.00025
