fly_threshold,fly_tp,fly_fp,fly_tn,fly_fn,fly_accuracy,fly_precision,fly_recall,fly_specificity,fly_f1,fly_false_positive_rate,fly_roc_auc,fly_pr_auc
0.026027971878647804,531,1933,0,0,0.21550324675324675,0.21550324675324675,1.0,0.0,0.3545909849749583,1.0,0.874519569417287,0.7548189847671357
0.030841032369062306,531,1917,16,0,0.22199675324675325,0.21691176470588236,1.0,0.008277289187790998,0.35649546827794565,0.991722710812209,0.874519569417287,0.7548189847671357
0.03565409285947681,531,1910,23,0,0.22483766233766234,0.2175337976239246,1.0,0.01189860320744956,0.35733512786002686,0.9881013967925505,0.874519569417287,0.7548189847671357
0.03722138993442058,531,1908,25,0,0.22564935064935066,0.2177121771217712,1.0,0.012933264355923435,0.3575757575757576,0.9870667356440765,0.874519569417287,0.7548189847671357
0.0404671533498913,531,1900,33,0,0.2288961038961039,0.21842863019333608,1.0,0.017071908949818936,0.3585415259959487,0.9829280910501811,0.874519569417287,0.7548189847671357
0.045280213840305804,530,1896,37,1,0.23011363636363635,0.21846661170651277,0.9981167608286252,0.019141231246766685,0.3584714237402773,0.9808587687532333,0.874519569417287,0.7548189847671357
0.050093274330720305,530,1892,41,1,0.231737012987013,0.21882741535920727,0.9981167608286252,0.021210553543714435,0.35895699288858784,0.9787894464562855,0.874519569417287,0.7548189847671357
0.0549063348211348,530,1887,46,1,0.23376623376623376,0.21928009929664874,0.9981167608286252,0.02379720641489912,0.35956580732700133,0.9762027935851009,0.874519569417287,0.7548189847671357
0.05706334069371223,530,1884,49,1,0.23498376623376624,0.2195526097763049,0.9981167608286252,0.025349198137609934,0.35993208828522916,0.9746508018623901,0.874519569417287,0.7548189847671357
0.0597193953115493,529,1882,51,2,0.2353896103896104,0.21941103276648694,0.9962335216572504,0.02638385928608381,0.35961930659415364,0.9736161407139162,0.874519569417287,0.7548189847671357
0.0645324558019638,529,1871,62,2,0.2398538961038961,0.22041666666666668,0.9962335216572504,0.03207449560269012,0.36096895257591266,0.9679255043973098,0.874519569417287,0.7548189847671357
0.06777532011270523,529,1861,72,2,0.24391233766233766,0.2213389121338912,0.9962335216572504,0.03724780134505949,0.36220472440944884,0.9627521986549405,0.874519569417287,0.7548189847671357
0.06934551629237831,529,1858,75,2,0.24512987012987014,0.22161709258483453,0.9962335216572504,0.0387997930677703,0.36257710760795064,0.9612002069322297,0.874519569417287,0.7548189847671357
0.0741585767827928,529,1849,84,2,0.24878246753246752,0.22245584524810766,0.9962335216572504,0.04345576823590274,0.3636988655895497,0.9565442317640973,0.874519569417287,0.7548189847671357
0.0789716372732073,529,1838,95,2,0.2532467532467532,0.22348964934516266,0.9962335216572504,0.04914640455250905,0.3650793650793651,0.9508535954474909,0.874519569417287,0.7548189847671357
0.07926669657230377,529,1836,97,2,0.25405844155844154,0.22367864693446088,0.9962335216572504,0.05018106570098293,0.3653314917127071,0.9498189342990171,0.874519569417287,0.7548189847671357
0.0837846977636218,529,1821,112,2,0.2601461038961039,0.2251063829787234,0.9962335216572504,0.05794102431453699,0.3672335994446373,0.942058975685463,0.874519569417287,0.7548189847671357
0.08610389679670334,528,1812,121,3,0.26339285714285715,0.22564102564102564,0.9943502824858758,0.06259699948266943,0.367816091954023,0.9374030005173306,0.874519569417287,0.7548189847671357
0.0885977582540363,527,1801,132,4,0.2674512987012987,0.2263745704467354,0.992467043314501,0.06828763579927574,0.36866037075900665,0.9317123642007242,0.874519569417287,0.7548189847671357
0.09147258505225182,527,1789,144,4,0.27232142857142855,0.22754749568221072,0.992467043314501,0.07449560269011898,0.37021426062521956,0.925504397309881,0.874519569417287,0.7548189847671357
0.0934108187444508,527,1782,151,4,0.27516233766233766,0.22823733217843223,0.992467043314501,0.07811691670977755,0.3711267605633803,0.9218830832902225,0.874519569417287,0.7548189847671357
0.09623481877148152,527,1764,169,4,0.2824675324675325,0.23003055434308162,0.992467043314501,0.08742886704604243,0.37349397590361444,0.9125711329539575,0.874519569417287,0.7548189847671357
0.09822387923486531,527,1754,179,4,0.286525974025974,0.23103901797457255,0.992467043314501,0.09260217278841179,0.3748221906116643,0.9073978272115882,0.874519569417287,0.7548189847671357
0.10058419644832611,527,1739,194,4,0.29261363636363635,0.2325684024713151,0.992467043314501,0.10036213140196586,0.3768323203432249,0.8996378685980342,0.874519569417287,0.7548189847671357
0.1030369397252798,527,1722,211,4,0.299512987012987,0.23432636727434417,0.992467043314501,0.10915675116399379,0.379136690647482,0.8908432488360062,0.874519569417287,0.7548189847671357
0.10380183912813663,526,1716,217,5,0.3015422077922078,0.23461195361284568,0.9905838041431262,0.11226073460941542,0.3793725207356654,0.8877392653905846,0.874519569417287,0.7548189847671357
0.1078500002156943,524,1698,235,7,0.3080357142857143,0.23582358235823583,0.9868173258003766,0.12157268494568028,0.3806756265891754,0.8784273150543197,0.874519569417287,0.7548189847671357
0.1088802844285965,524,1693,240,7,0.31006493506493504,0.2363554352728913,0.9868173258003766,0.12415933781686497,0.38136826783114997,0.875840662183135,0.874519569417287,0.7548189847671357
0.1126630607061088,524,1675,258,7,0.31737012987012986,0.23829013187812642,0.9868173258003766,0.13347128815312986,0.3838827838827839,0.8665287118468702,0.874519569417287,0.7548189847671357
0.11441633857786655,524,1669,264,7,0.3198051948051948,0.2389420884632923,0.9868173258003766,0.13657527159855148,0.38472834067547723,0.8634247284014486,0.874519569417287,0.7548189847671357
0.1174761211965233,523,1655,278,8,0.32508116883116883,0.2401285583103765,0.9849340866290018,0.1438178996378686,0.3861203396087118,0.8561821003621314,0.874519569417287,0.7548189847671357
