epoch,train_loss,val_loss
1,3.794118304242103,3.532087979872534
2,3.1326027433709696,2.8873301386101846
3,2.9158803725848976,2.6735171335606487
4,2.8334188692772684,2.7459924191785006
5,2.6741949774609557,2.4563395048211687
6,2.5458100716448344,2.4440297378352813
7,2.5303534684786464,2.441041396439441
8,2.4972807385893514,2.5263028013194266
9,2.486904435423024,2.4124845909926056
10,2.482436754357149,2.6446404018285086
11,2.478647068449186,2.510493421115758
12,2.501943574080746,2.3782022489360504
13,2.4577540240627234,2.476169420897595
14,2.468085451057433,2.5318428987374335
15,2.4709205466852886,2.405921677138908
16,2.4457388069277757,2.3904570121706628
17,2.5048929540804488,2.465208365873325
18,2.4784606569888434,2.4227985063213513
19,2.4769455342463895,2.5975666543457407
20,2.51508274015795,2.405988794162961
21,2.4456988649630764,2.484397463271954
22,2.4948425919263983,2.4301723117477323
23,2.463817053397155,2.466541582821337
24,2.459886403383382,2.4302436025596106
25,2.458729512599298,2.4088430572872515
26,2.4381286512613434,2.391170955143092
27,2.420699829812139,2.3838117839368573
28,2.434815617917847,2.4606403807189565
29,2.4220763812177535,2.464216138687602
30,2.4496871107699714,2.3963852689310086
31,2.417823508812733,2.4490949537125104
32,2.423022042166936,2.3987048074511663
33,2.414875356069274,2.396345967164069
34,2.370582231950876,2.394974015241752
35,2.3996108128985467,2.411893142512971
36,2.434962181191649,2.4622035553118935
37,2.407540854227112,2.384915760689718
38,2.3863451127293853,2.4152501755696862
39,2.385726428588444,2.3759503839937457
40,2.3919235408797577,2.3906862969778797
41,2.4441549481172733,2.4722751744685727
42,2.371735910272338,2.410902685914303
43,2.391102991623547,2.3701494186202443
44,2.388931825869508,2.4050526377613557
45,2.378283778683343,2.3864241918903186
46,2.384340412510686,2.3924114828460787
47,2.361312700112568,2.3598120878079185
48,2.349845949884436,2.3508427208918006
49,2.352123365378964,2.373199537487849
50,2.358089769859788,2.3971283925822906
51,2.352603291429691,2.354233125236137
52,2.335604352910072,2.350185326271993
53,2.334089488908951,2.3538961490970447
54,2.3189275279968213,2.3506910625410957
55,2.3380985910670153,2.3256971192506195
56,2.321298417335132,2.3999724037076797
57,2.3511314563476557,2.3859829222497764
58,2.32951874113321,2.4139140105686305
59,2.329314595162557,2.342617059777851
60,2.324232352318463,2.3682467052541627
61,2.3177134853638144,2.4049273970668303
62,2.315783341467249,2.33158527561492
63,2.3130913185555544,2.3773622359234863
64,2.289094849422465,2.3483898990724716
65,2.3035745303703647,2.401543767905674
66,2.3200506239786836,2.36894310690874
67,2.336318921300817,2.3563951414786963
68,2.3332655919358203,2.3807461773691
69,2.327764309791305,2.3811689468980566
70,2.2951672733376878,2.4799653913345807
71,2.3250713515483796,2.4827765219050684
72,2.317213235589744,2.4291012835648895
73,2.293834336971575,2.3547482885466033
74,2.2941606049891505,2.37475959654966
75,2.2916274290441456,2.4154827214457506
76,2.306801164071328,2.3884857139704416
77,2.30915133210511,2.3484903676378215
78,2.280184969421934,2.3770100178162745
79,2.276580622547554,2.354348192185712
80,2.328941154972821,2.3732843274719144
81,2.281029418015671,2.3666024134934314
82,2.290430560868981,2.3849567621032155
83,2.309214631684108,2.3799731512011193
84,2.271087915442461,2.376682470181237
85,2.252814177311667,2.3363579007014175
