condition,setup,path_id,source_bird_id,path_year,path_copy_index,records,observed_days,rollout_steps,observed_displacement_km,direct_model,direct_mean_rollout_error_km,direct_final_rollout_error_km,lstm_model,lstm_mean_rollout_error_km,lstm_final_rollout_error_km,transformer_model,transformer_mean_rollout_error_km,transformer_final_rollout_error_km,persistence_mean_rollout_error_km,persistence_final_rollout_error_km,const_velocity_mean_rollout_error_km,const_velocity_final_rollout_error_km,lat_min,lat_max,lon_min,lon_max
with_weather,fly_threshold_10km,Louis_DER_AU050_eobs_3264__2021__southbound_01,Louis / DER AU050 (eobs 3264),2021,1,78,60,18,918.5754949390846,direct_transformer_4l_k30,19.910118724338254,35.97639268696911,triline_lstm_4l_k30,11.292974888730617,22.9617015952121,triline_transformer_v2_k30,18.85871415603402,32.14037722633894,0.8007099687815311,2.3354624637022536,8.781454631992288,17.134035526435422,41.64705355,47.92222675,0.9430285,8.6020267
with_weather,fly_threshold_10km,Louis_DER_AU050_eobs_3264__2022__southbound_01,Louis / DER AU050 (eobs 3264),2022,1,61,60,1,945.5807246297702,direct_transformer_4l_k30,1.5644452501423687,1.5644452501423687,triline_lstm_4l_k30,1.7978620181079217,1.7978620181079217,triline_transformer_v2_k30,1.949136487598202,1.949136487598202,0.8235548711653959,0.8235548711653959,0.11818633182901943,0.11818633182901943,41.53766505,47.9113033,0.6143338,8.5728078
with_weather,fly_threshold_10km,Moenchsambach_4_12183_ABR27__2023__southbound_01,Moenchsambach 4 12183 ABR27,2023,1,110,60,50,2074.8453688751742,direct_transformer_4l_k30,124.84656967155917,207.2231173624412,triline_lstm_4l_k30,133.00273226631816,229.40837959315377,triline_transformer_v2_k30,129.4709683375577,220.37563644390835,155.17207652055038,288.27219446090646,154.55786119277545,286.468675382916,33.43067855,49.8335029,-7.6228863,10.8225135
with_weather,fly_threshold_10km,Rosalie_DER_A2M38_e-obs_6993__2021__southbound_01,Rosalie / DER A2M38 (e-obs 6993),2021,1,147,60,87,178.35427602210703,direct_transformer_4l_k30,734.2642972177456,789.824867925821,triline_lstm_4l_k30,272.70074318668753,274.6602905028499,triline_transformer_v2_k30,683.7420688621204,792.767484592859,854.3912648890318,1063.3915075314676,863.2689548406702,1081.0101766922048,41.5311109,49.7098132,0.5014274999999999,11.09741055
with_weather,fly_threshold_10km,Rosalie_DER_A2M38_e-obs_6993__2022__southbound_01,Rosalie / DER A2M38 (e-obs 6993),2022,1,97,64,33,89.7241133881572,direct_transformer_4l_k30,671.0289450240565,1302.400842136646,triline_lstm_4l_k30,374.0029238375582,236.98483420441974,triline_transformer_v2_k30,160.277687796274,143.85684193631369,930.6567304519511,1169.173003984483,490.5989094111583,1234.7833761873694,41.55683495,49.6043816,-0.8643592499999999,10.8271529
with_weather,fly_threshold_10km,Rosalie_DER_A2M38_e-obs_6993__2023__southbound_01,Rosalie / DER A2M38 (e-obs 6993),2023,1,143,64,79,164.49472609616842,direct_transformer_4l_k30,791.359828802585,968.4783739885938,triline_lstm_4l_k30,246.3519528321127,242.062133367782,triline_transformer_v2_k30,252.22425515399442,321.80461250177456,935.5314329115547,991.6787142141383,5675.776470230313,12209.508497826273,41.5377081,49.2711669,0.2965722,10.7019282
with_weather,fly_threshold_10km,Rudolph_plus_A3M22_e-obs_8046__2021__southbound_01,"Rudolph + (A3M22, e-obs 8046)",2021,1,66,60,6,1574.196889437485,direct_transformer_4l_k30,11.720900217552346,17.190454646261905,triline_lstm_4l_k30,4.791219715110322,8.713031585084,triline_transformer_v2_k30,3.166302140138304,4.977394504021002,3.008559033704979,3.716714314019339,2.971974761827004,3.638567669830097,39.8563166,48.55080015,-4.24883565,11.5238635
with_weather,fly_threshold_10km,Sierit_DER_AN858_eobs2561__2021__southbound_01,Sierit  / DER AN858 (eobs2561),2021,1,66,60,6,955.2762453189472,direct_transformer_4l_k30,8.121191951867935,14.208982847295143,triline_lstm_4l_k30,5.525179979796282,9.886166552372734,triline_transformer_v2_k30,4.722770747837913,7.8896121550197815,0.09301042957266055,0.04621836139244499,19.117966509453105,32.74796603378098,41.53828245,47.8109808,0.5537554,8.8902253
with_weather,fly_threshold_10km,Steppach_2_12178_AEH96__2023__southbound_01,Steppach 2 12178 AEH96,2023,1,84,60,24,2231.4341624813833,direct_transformer_4l_k30,52.184195386941575,67.55711732549055,triline_lstm_4l_k30,34.49647638216674,23.458160239052273,triline_transformer_v2_k30,56.20206721827327,46.81006422702668,5.123189817595493,51.25364791170557,5.227780139295908,51.13805464223365,33.8696204,49.77206295,-6.82456,10.82404745
with_weather,fly_threshold_10km,Steppach_3_12179_AEH97__2023__southbound_01,Steppach 3 12179 AEH97,2023,1,160,60,100,1268.7692033712356,direct_transformer_4l_k30,1399.2829799810925,1789.5521444066378,triline_lstm_4l_k30,94.76069158090853,65.20210154783314,triline_transformer_v2_k30,110.5102238315737,139.70451651404414,281.78038997499146,298.0460177071695,3346.429598668969,6671.655418765093,40.1553958,49.7713352,-3.6440069,10.8211725
with_weather,fly_threshold_10km,Steppach_5_12185__2023__southbound_01,Steppach 5 12185,2023,1,97,60,37,2231.1787223104925,direct_transformer_4l_k30,69.26967379985949,131.30038739814128,triline_lstm_4l_k30,49.940895096867045,79.3723164335237,triline_transformer_v2_k30,46.13671649025972,75.80636836552549,58.7265471030468,134.74225163419234,69.81804327745564,141.42723006472335,33.445226,49.7719094,-7.6222818,10.8209779
with_weather,fly_threshold_10km,Wingersdorf_1_12174_A1X36__2023__southbound_01,Wingersdorf 1 12174 A1X36,2023,1,190,60,130,603.2602987701658,direct_transformer_4l_k30,1405.9197004426608,2132.8792851328444,triline_lstm_4l_k30,256.1380004432101,193.6071337440222,triline_transformer_v2_k30,571.8712214632321,543.5668817767402,1012.850878508599,1068.1277499406438,7283.640468298825,14770.395921942629,38.8558652,49.78545045,-3.8328531,10.8659268
with_weather,fly_threshold_10km,Wingersdorf_2_12175_AEH98__2023__southbound_01,Wingersdorf 2 12175 AEH98,2023,1,65,60,5,2182.170548929161,direct_transformer_4l_k30,394.55984563014783,765.8911162684741,triline_lstm_4l_k30,511.6902630517934,549.4405832368504,triline_transformer_v2_k30,510.62288115167786,562.0240008933305,634.8481841011983,859.7772719312343,392.9856113254388,930.9567096067979,30.1826086,49.7854463,10.8012401,36.807094
with_weather,fly_threshold_10km,Wingersdorf_3_12176_AEH99__2023__southbound_01,Wingersdorf 3 12176 AEH99,2023,1,135,60,75,675.9382488202849,direct_transformer_4l_k30,1084.7046386180014,1734.7086118884095,triline_lstm_4l_k30,117.83688998194191,97.77227830989943,triline_transformer_v2_k30,57.88718642850575,50.95848596554668,595.6019692741673,606.0046929493528,5841.459141171042,12233.84174371214,41.5441508,49.7854748,-0.8655409,10.86398005
