condition,path_id,selection_reason,gif,frames
with_weather,Rudolph_plus_A3M22_e-obs_8046__2021__southbound_01,clear_success_lowest_mean_error,D:\UCSD\ECE 228\ECE-228-Project\rollout\with_weather\gifs\01_clear_success_lowest_mean_error_Rudolph_plus_A3M22_e-obs_8046_2021_southbound_01.gif,6
with_weather,Bembo_Sparky_DER_AU891_eobs_3042__2021__southbound_01,lstm_best_or_nearest_best,D:\UCSD\ECE 228\ECE-228-Project\rollout\with_weather\gifs\02_lstm_best_or_nearest_best_Bembo_Sparky_DER_AU891_eobs_3042_2021_southbound_01.gif,14
with_weather,Rosalie_DER_A2M38_e-obs_6993__2022__southbound_01,transformer_best_or_nearest_best,D:\UCSD\ECE 228\ECE-228-Project\rollout\with_weather\gifs\03_transformer_best_or_nearest_best_Rosalie_DER_A2M38_e-obs_6993_2022_southbound_01.gif,14
with_weather,Angela_DER_AY470_eobs_4001__2022__southbound_01,direct_best_or_nearest_best,D:\UCSD\ECE 228\ECE-228-Project\rollout\with_weather\gifs\04_direct_best_or_nearest_best_Angela_DER_AY470_eobs_4001_2022_southbound_01.gif,12
with_weather,Baunach_1_9698_ABR25__2023__southbound_01,largest_weather_vs_noweather_contrast,D:\UCSD\ECE 228\ECE-228-Project\rollout\with_weather\gifs\05_largest_weather_vs_noweather_contrast_Baunach_1_9698_ABR25_2023_southbound_01.gif,14
with_weather,Wingersdorf_1_12174_A1X36__2023__southbound_01,hard_failure_high_average_error,D:\UCSD\ECE 228\ECE-228-Project\rollout\with_weather\gifs\06_hard_failure_high_average_error_Wingersdorf_1_12174_A1X36_2023_southbound_01.gif,14
with_weather,Steppach_3_12179_AEH97__2023__southbound_01,long_rollout_story,D:\UCSD\ECE 228\ECE-228-Project\rollout\with_weather\gifs\07_long_rollout_story_Steppach_3_12179_AEH97_2023_southbound_01.gif,14
