epochs_logged,k,last_test_delta_mse_norm,last_test_loss,last_test_unweighted_loss,last_train_direction_loss,last_train_distance_loss,last_train_loss,last_train_mean_distance_weight,last_train_unweighted_direction_loss,last_train_unweighted_distance_loss,min_test_delta_mse_norm,min_test_loss,min_test_unweighted_loss,min_train_direction_loss,min_train_distance_loss,min_train_loss,min_train_mean_distance_weight,min_train_unweighted_direction_loss,min_train_unweighted_distance_loss,model,setup,training_log
24,7,,2.617219471224556,2.4626169089037133,0.170719796595869,0.5959065167730389,0.9695361566672108,1.8084568739580016,0.2519356281850537,0.6965894140001898,,2.2072720309152114,2.1884285683901803,0.1697099392385174,0.5809941881429153,0.9642375180663446,1.808456873315364,0.2519356281850537,0.680087070741422,triline_linear_ar_full_k7,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_10km\k_7\triline_linear_ar_full_k7\training_log.csv
26,7,,2.971779917128324,2.553855762970094,0.2110453815151739,0.5752444061628892,0.9879088944823272,1.8084568736366824,0.3095079653989273,0.6591778325263381,,2.118512655525516,1.9863051879759424,0.2018071817901899,0.5752444061628892,0.9879088944823272,1.808456873315364,0.2982757517269679,0.6591778325263381,triline_lstm_2l_k7,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_10km\k_7\triline_lstm_2l_k7\training_log.csv
29,7,,2.4958641586920645,2.257781592983441,0.2404152917251432,0.8242966789762286,1.413554858325948,1.8084568739580016,0.3532598637988304,0.9308825138444208,,2.122807622919828,2.0047634155602467,0.2400605976983222,0.8242966789762286,1.413554858325948,1.808456873315364,0.352771101052549,0.9283501344389028,triline_transformer_2l_k7,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_10km\k_7\triline_transformer_2l_k7\training_log.csv
29,7,,2.632484430894055,2.468560373686716,0.2713862788082776,0.9128632198446844,1.5502184253497264,1.8084568739580016,0.3965763062078034,1.0324071192677131,,2.175108042688704,2.0785886103894837,0.2713862788082776,0.9128632198446844,1.5502184253497264,1.808456873315364,0.3965763062078034,1.0324071192677131,triline_transformer_4l_k7,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_10km\k_7\triline_transformer_4l_k7\training_log.csv
37,1,1.013753041800766,,,,,0.3264643723453688,,,,0.9930513525216348,,,,,0.3232960488471976,,,,direct_mlp_last_day_k1,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_30km\k_1\direct_mlp_last_day_k1\training_log.csv
25,14,1.4415439566269934,,,,,0.2255913391640532,,,,1.2850584427398275,,,,,0.2255913391640532,,,,direct_transformer_2l_k14,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_30km\k_14\direct_transformer_2l_k14\training_log.csv
22,14,,2.950938398764088,2.6289072367782254,0.1037908265988032,0.4829262603132788,0.6407076131383909,1.7702677750081126,0.1217879218407945,0.5534867631101212,,2.4081359522381423,2.284838731391039,0.1021614851163475,0.4769298590341323,0.6345543519501761,1.7702677742155857,0.1188107028892496,0.5474094297141799,triline_linear_ar_full_k14,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_30km\k_14\triline_linear_ar_full_k14\training_log.csv
28,14,,3.116215566412561,2.7165562560674537,0.1281882185726284,0.5602901603926802,0.7824894271288773,1.7702677741715562,0.1494175682919287,0.6271679202935703,,2.0374954704696,1.9212494847341337,0.1281882185726284,0.5590779252769984,0.7824894271288773,1.7702677741715562,0.1494175682919287,0.6271679202935703,triline_lstm_2l_k14,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_30km\k_14\triline_lstm_2l_k14\training_log.csv
28,14,,2.892958184640904,2.909955683275727,0.1971553817590903,0.948941965182402,1.3882732760983272,1.7702677741715562,0.2335947405839285,1.0301991219225572,,2.0873879822881745,1.896661167482858,0.1901945959903912,0.9397149655297192,1.3882732760983272,1.7702677741715562,0.2281431406323599,1.015441707230671,triline_transformer_2l_k14,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_30km\k_14\triline_transformer_2l_k14\training_log.csv
34,14,,2.5156905601788835,2.3361097276651,0.2073443895782019,0.8771279803273421,1.2918670286872491,1.7702677752722884,0.2479782888983975,0.9786931988054806,,2.035892674982812,1.9479882456527329,0.2073443895782019,0.8771279803273421,1.2918670286872491,1.7702677741715562,0.2479782888983975,0.9786931988054806,triline_transformer_4l_k14,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_30km\k_14\triline_transformer_4l_k14\training_log.csv
