fly_error_mean_km_delta_weighted_minus_weather,fly_error_mean_km_improved,fly_error_mean_km_weather,fly_error_mean_km_weighted,gated_fly_error_mean_km_delta_weighted_minus_weather,gated_fly_error_mean_km_improved,gated_fly_error_mean_km_weather,gated_fly_error_mean_km_weighted,gated_mean_error_km_delta_weighted_minus_weather,gated_mean_error_km_improved,gated_mean_error_km_weather,gated_mean_error_km_weighted,gated_median_error_km_delta_weighted_minus_weather,gated_median_error_km_improved,gated_median_error_km_weather,gated_median_error_km_weighted,gated_migration50_error_mean_km_delta_weighted_minus_weather,gated_migration50_error_mean_km_improved,gated_migration50_error_mean_km_weather,gated_migration50_error_mean_km_weighted,gated_p90_error_km_delta_weighted_minus_weather,gated_p90_error_km_improved,gated_p90_error_km_weather,gated_p90_error_km_weighted,gated_p95_error_km_delta_weighted_minus_weather,gated_p95_error_km_improved,gated_p95_error_km_weather,gated_p95_error_km_weighted,gated_stationary_error_mean_km_delta_weighted_minus_weather,gated_stationary_error_mean_km_improved,gated_stationary_error_mean_km_weather,gated_stationary_error_mean_km_weighted,k,kind,mean_error_km_delta_weighted_minus_weather,mean_error_km_improved,mean_error_km_weather,mean_error_km_weighted,median_error_km_delta_weighted_minus_weather,median_error_km_improved,median_error_km_weather,median_error_km_weighted,migration50_error_mean_km_delta_weighted_minus_weather,migration50_error_mean_km_improved,migration50_error_mean_km_weather,migration50_error_mean_km_weighted,model,model_family,p90_error_km_delta_weighted_minus_weather,p90_error_km_improved,p90_error_km_weather,p90_error_km_weighted,p95_error_km_delta_weighted_minus_weather,p95_error_km_improved,p95_error_km_weather,p95_error_km_weighted,setup,stationary_error_mean_km_delta_weighted_minus_weather,stationary_error_mean_km_improved,stationary_error_mean_km_weather,stationary_error_mean_km_weighted
0.0,False,125.0659985604233,125.0659985604233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,persistence,0.0,False,14.923289710207357,14.923289710207357,0.0,False,0.7386321611583204,0.7386321611583204,0.0,False,143.19965037479795,143.19965037479795,persistence,baseline,0.0,False,33.240053740375686,33.240053740375686,0.0,False,104.3792604099195,104.3792604099195,setup_30km,0.0,False,2.354452063636169,2.354452063636169
0.0,False,109.17166379159896,109.17166379159896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,const_velocity,0.0,False,17.8170676659345,17.8170676659345,0.0,False,1.763707701548658,1.763707701548658,0.0,False,116.09933869184148,116.09933869184148,const_velocity,baseline,0.0,False,54.11542864244548,54.11542864244548,0.0,False,113.61396151611616,113.61396151611616,setup_30km,0.0,False,7.392218858801617,7.392218858801617
0.0,False,125.18693432868216,125.18693432868216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,persistence,0.0,False,15.89449731571084,15.89449731571084,0.0,False,0.7254620855826754,0.7254620855826754,0.0,False,142.88954710816134,142.88954710816134,persistence,baseline,0.0,False,42.2899299132938,42.2899299132938,0.0,False,106.70000145805624,106.70000145805624,setup_30km,0.0,False,2.380328755600693,2.380328755600693
0.0,False,108.83508627174578,108.83508627174578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,const_velocity,0.0,False,18.699088483856144,18.699088483856144,0.0,False,1.7985175450952855,1.7985175450952855,0.0,False,115.97701697014838,115.97701697014838,const_velocity,baseline,0.0,False,59.68489376262655,59.68489376262655,0.0,False,118.22454949275478,118.22454949275478,setup_30km,0.0,False,7.553641454482236,7.553641454482236
0.0,False,128.01192579365977,128.01192579365977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,persistence,0.0,False,16.339407133996552,16.339407133996552,0.0,False,0.8082727182331646,0.8082727182331646,0.0,False,146.62910503452096,146.62910503452096,persistence,baseline,0.0,False,40.923995571751,40.923995571751,0.0,False,108.11717038463664,108.11717038463664,setup_30km,0.0,False,2.539791640227164,2.539791640227164
0.0,False,113.1596434195498,113.1596434195498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,const_velocity,0.0,False,19.54231281414791,19.54231281414791,0.0,False,2.28170494968953,2.28170494968953,0.0,False,119.9864140083335,119.9864140083335,const_velocity,baseline,0.0,False,61.88703872289553,61.88703872289553,0.0,False,120.5658292818282,120.5658292818282,setup_30km,0.0,False,7.973816093438845,7.973816093438845
0.0,False,93.61969260039535,93.61969260039535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,persistence,0.0,False,14.923289710207357,14.923289710207357,0.0,False,0.7386321611583204,0.7386321611583204,0.0,False,143.19965037479795,143.19965037479795,persistence,baseline,0.0,False,33.240053740375686,33.240053740375686,0.0,False,104.3792604099195,104.3792604099195,setup_10km,0.0,False,1.5901718052503633,1.5901718052503633
0.0,False,89.9617353052174,89.9617353052174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,const_velocity,0.0,False,17.8170676659345,17.8170676659345,0.0,False,1.763707701548658,1.763707701548658,0.0,False,116.09933869184148,116.09933869184148,const_velocity,baseline,0.0,False,54.11542864244548,54.11542864244548,0.0,False,113.61396151611616,113.61396151611616,setup_10km,0.0,False,5.593975827915725,5.593975827915725
0.0,False,93.93371469095976,93.93371469095976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,persistence,0.0,False,15.89449731571084,15.89449731571084,0.0,False,0.7254620855826754,0.7254620855826754,0.0,False,142.88954710816134,142.88954710816134,persistence,baseline,0.0,False,42.2899299132938,42.2899299132938,0.0,False,106.70000145805624,106.70000145805624,setup_10km,0.0,False,1.5691165038207362,1.5691165038207362
0.0,False,90.15228767695773,90.15228767695773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,const_velocity,0.0,False,18.699088483856144,18.699088483856144,0.0,False,1.7985175450952855,1.7985175450952855,0.0,False,115.97701697014838,115.97701697014838,const_velocity,baseline,0.0,False,59.68489376262655,59.68489376262655,0.0,False,118.22454949275478,118.22454949275478,setup_10km,0.0,False,5.582679541066511,5.582679541066511
0.0,False,94.74983597748766,94.74983597748766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,persistence,0.0,False,16.339407133996552,16.339407133996552,0.0,False,0.8082727182331646,0.8082727182331646,0.0,False,146.62910503452096,146.62910503452096,persistence,baseline,0.0,False,40.923995571751,40.923995571751,0.0,False,108.11717038463664,108.11717038463664,setup_10km,0.0,False,1.7234280732580762,1.7234280732580762
0.0,False,92.8596643149508,92.8596643149508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,const_velocity,0.0,False,19.54231281414791,19.54231281414791,0.0,False,2.28170494968953,2.28170494968953,0.0,False,119.9864140083335,119.9864140083335,const_velocity,baseline,0.0,False,61.88703872289553,61.88703872289553,0.0,False,120.5658292818282,120.5658292818282,setup_10km,0.0,False,5.875701240533331,5.875701240533331
0.0,False,78.83565382841991,78.83565382841991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,direct_transformer,0.0,False,14.274545749690583,14.274545749690583,0.0,False,3.393367978676742,3.393367978676742,0.0,False,85.63335244676999,85.63335244676999,direct_transformer_2l_k7,direct,0.0,False,42.71279991782659,42.71279991782659,0.0,False,73.72902169497426,73.72902169497426,setup_30km,0.0,False,6.907212095060814,6.907212095060814
0.0,False,78.0894468173427,78.0894468173427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,direct_transformer,0.0,False,17.997934694275028,17.997934694275028,0.0,False,5.690100844258756,5.690100844258756,0.0,False,83.42578259590567,83.42578259590567,direct_transformer_2l_k14,direct,0.0,False,51.870697438876746,51.870697438876746,0.0,False,81.51231870934316,81.51231870934316,setup_30km,0.0,False,10.56753195042682,10.56753195042682
0.0,False,83.42587035878118,83.42587035878118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,direct_transformer,0.0,False,16.326040345787863,16.326040345787863,0.0,False,4.981664223752452,4.981664223752452,0.0,False,91.93875220300542,91.93875220300542,direct_transformer_2l_k30,direct,0.0,False,46.23775820331507,46.23775820331507,0.0,False,80.65821171813832,80.65821171813832,setup_30km,0.0,False,8.03436872424456,8.03436872424456
0.0,False,81.98958137808206,81.98958137808206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,direct_mlp_last,0.0,False,14.341497833291358,14.341497833291358,0.0,False,3.705290085413627,3.705290085413627,0.0,False,90.46299049628546,90.46299049628546,direct_mlp_last_day_k1,direct,0.0,False,41.45636946891305,41.45636946891305,0.0,False,72.70787373290777,72.70787373290777,setup_30km,0.0,False,6.882026181212439,6.882026181212439
0.0,False,88.62028340462689,88.62028340462689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,direct_mlp_sequence,0.0,False,18.586050673238304,18.586050673238304,0.0,False,5.975712751993324,5.975712751993324,0.0,False,95.914167713624,95.914167713624,direct_mlp_sequence_k30,direct,0.0,False,53.49648411692534,53.49648411692534,0.0,False,91.12696708464252,91.12696708464252,setup_30km,0.0,False,9.931768539245322,9.931768539245322
0.0,False,65.4064701739166,65.4064701739166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,direct_transformer,0.0,False,14.274545749690583,14.274545749690583,0.0,False,3.393367978676742,3.393367978676742,0.0,False,85.63335244676999,85.63335244676999,direct_transformer_2l_k7,direct,0.0,False,42.71279991782659,42.71279991782659,0.0,False,73.72902169497426,73.72902169497426,setup_10km,0.0,False,5.611532549368605,5.611532549368605
0.0,False,65.37336569658001,65.37336569658001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,direct_transformer,0.0,False,17.997934694275028,17.997934694275028,0.0,False,5.690100844258756,5.690100844258756,0.0,False,83.42578259590567,83.42578259590567,direct_transformer_2l_k14,direct,0.0,False,51.870697438876746,51.870697438876746,0.0,False,81.51231870934316,81.51231870934316,setup_10km,0.0,False,9.301395786509248,9.301395786509248
0.0,False,66.73622140130604,66.73622140130604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,direct_transformer,0.0,False,16.326040345787863,16.326040345787863,0.0,False,4.981664223752452,4.981664223752452,0.0,False,91.93875220300542,91.93875220300542,direct_transformer_2l_k30,direct,0.0,False,46.23775820331507,46.23775820331507,0.0,False,80.65821171813832,80.65821171813832,setup_10km,0.0,False,6.929405719211012,6.929405719211012
0.0,False,64.51159748980898,64.51159748980898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,direct_mlp_last,0.0,False,14.341497833291358,14.341497833291358,0.0,False,3.705290085413627,3.705290085413627,0.0,False,90.46299049628546,90.46299049628546,direct_mlp_last_day_k1,direct,0.0,False,41.45636946891305,41.45636946891305,0.0,False,72.70787373290777,72.70787373290777,setup_10km,0.0,False,6.028217933622376,6.028217933622376
0.0,False,71.22722171585409,71.22722171585409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,direct_mlp_sequence,0.0,False,18.586050673238304,18.586050673238304,0.0,False,5.975712751993324,5.975712751993324,0.0,False,95.914167713624,95.914167713624,direct_mlp_sequence_k30,direct,0.0,False,53.49648411692534,53.49648411692534,0.0,False,91.12696708464252,91.12696708464252,setup_10km,0.0,False,8.773551685031418,8.773551685031418
-12.698300006297387,True,95.11162926022936,82.41332925393198,-12.937911608504194,True,95.8188615102419,82.88094990173771,0.4750804919830518,False,13.021246533239529,13.49632702522258,0.026249513608051056,False,0.8049111122092937,0.8311606258173447,-18.67046522349473,True,108.45493994042224,89.7844747169275,9.47672268412888,False,37.64401178689472,47.1207344710236,15.996035820187657,False,72.3788529975105,88.37488881769816,2.005692203149765,False,3.572870049377394,5.578562252527159,7,triline_transformer,1.0671779529863432,False,13.549866778737258,14.6170447317236,0.8260592635376507,False,1.5161320210107774,2.342191284548428,-18.594958904692632,True,107.92681077217256,89.33185186747993,triline_transformer_2l_k7,triline,10.959421680754886,False,36.48237871926583,47.44180040002072,15.85524853499301,False,72.31724599812188,88.17249453311489,setup_30km,2.638013275667367,False,4.242518507575996,6.880531783243363
-12.853038173737318,True,93.34261202627331,80.489573852536,-11.563049490030906,True,94.04178089334624,82.47873140331534,0.4068076909334959,False,13.665953716963786,14.072761407897282,0.010529165480136937,False,0.7943819467291567,0.8049111122092937,-17.796175372545505,True,105.39782039094018,87.60164501839468,13.249459774494696,False,40.8284821356872,54.0779419101819,10.698900467398957,False,78.67988192011674,89.3787823875157,1.886897914969755,False,3.727365958224381,5.614263873194136,14,triline_transformer,1.3402018073143012,False,14.188580945556987,15.528782752871289,1.0069251050793522,False,1.7028902049009171,2.7098153099802693,-19.019869013110736,True,104.79755146051735,85.77768244740662,triline_transformer_2l_k14,triline,12.36889248576827,False,40.258355217889566,52.62724770365784,11.210145408588843,False,77.84251024700623,89.05265565559507,setup_30km,3.095216543560519,False,4.401070048439367,7.496286591999886
