direct_final_rollout_error_km_delta_weighted_minus_weather,direct_final_rollout_error_km_improved,direct_final_rollout_error_km_weather,direct_final_rollout_error_km_weighted,direct_mean_rollout_error_km_delta_weighted_minus_weather,direct_mean_rollout_error_km_improved,direct_mean_rollout_error_km_weather,direct_mean_rollout_error_km_weighted,lstm_final_rollout_error_km_delta_weighted_minus_weather,lstm_final_rollout_error_km_improved,lstm_final_rollout_error_km_weather,lstm_final_rollout_error_km_weighted,lstm_mean_rollout_error_km_delta_weighted_minus_weather,lstm_mean_rollout_error_km_improved,lstm_mean_rollout_error_km_weather,lstm_mean_rollout_error_km_weighted,path_id,setup,transformer_final_rollout_error_km_delta_weighted_minus_weather,transformer_final_rollout_error_km_improved,transformer_final_rollout_error_km_weather,transformer_final_rollout_error_km_weighted,transformer_mean_rollout_error_km_delta_weighted_minus_weather,transformer_mean_rollout_error_km_improved,transformer_mean_rollout_error_km_weather,transformer_mean_rollout_error_km_weighted
0.0,False,2906.400788664744,2906.400788664744,0.0,False,1713.6626367877486,1713.6626367877486,628.8222069570211,False,273.74181622247164,902.5640231794928,505.1890446895573,False,328.5105236821361,833.6995683716934,Angela_DER_AY470_eobs_4001__2019__southbound_01,setup_30km,1786.8967549939905,False,265.8175586258965,2052.714313619887,1416.0166581850292,False,335.8935773252928,1751.910235510322
0.0,False,237.4636722896412,237.4636722896412,0.0,False,197.6693631280577,197.6693631280577,-942.8396775430946,True,977.527466180741,34.68778863764649,-690.6660383836665,True,823.0304770962568,132.36443871259033,Angela_DER_AY470_eobs_4001__2020__southbound_01,setup_30km,89.46515569442886,False,1131.3566741609632,1220.821829855392,-411.98100414204737,True,980.3189667092216,568.3379625671743
0.0,False,48.08164462350689,48.08164462350689,0.0,False,118.56248731979257,118.56248731979257,-714.6229122218753,True,1173.011117073536,458.3882048516608,-386.9549465326948,True,653.4736483976789,266.51870186498405,Angela_DER_AY470_eobs_4001__2022__southbound_01,setup_30km,-802.8541774150324,True,1306.15316507976,503.2989876647276,-387.8673580626127,True,736.5246514759974,348.6572934133847
0.0,False,433.8160380315993,433.8160380315993,0.0,False,373.2542791305506,373.2542791305506,267.4566376246843,False,742.9916603205141,1010.4482979451984,115.63504753258667,False,448.4644872588012,564.0995347913879,Angela_DER_AY470_eobs_4001__2023__southbound_01,setup_30km,762.1290189394958,False,864.8868718290562,1627.015890768552,442.1237133198622,False,502.7267701202702,944.8504834401324
0.0,False,1054.7932188427603,1054.7932188427603,0.0,False,730.6942666037996,730.6942666037996,65.60546733345461,False,764.906354623992,830.5118219574466,148.58163058458967,False,602.8464953183566,751.4281259029462,Ed_plus_AAL16_e-obs_7210__2021__southbound_01,setup_30km,1233.3362170190267,False,577.5883779687869,1810.9245949878136,874.6606127906799,False,477.1946989894126,1351.8553117800925
0.0,False,2906.251889208185,2906.251889208185,0.0,False,1553.5624926222513,1553.5624926222513,1607.2194105120025,False,248.7790694308852,1855.9984799428876,1187.2594181564696,False,286.50580035052883,1473.7652185069985,Europa_DER_A1A26_eobs_4004__2019__southbound_01,setup_30km,1909.77161676211,False,237.18526677042948,2146.9568835325395,1349.4315949974089,False,322.95739991903434,1672.3889949164432
0.0,False,1385.204075159017,1385.204075159017,0.0,False,741.3803023037353,741.3803023037353,938.737666741665,False,333.1807102055081,1271.918376947173,682.5827779329593,False,278.815537483584,961.3983154165433,Europa_DER_A1A26_eobs_4004__2020__southbound_01,setup_30km,1748.8656738639454,False,376.7149119587682,2125.5805858227136,1073.1288779764561,False,318.66586375304183,1391.794741729498
0.0,False,2165.975940475831,2165.975940475831,0.0,False,1108.478167636948,1108.478167636948,1241.3768012568062,False,247.41184944213717,1488.7886506989432,1106.5062610712466,False,229.81989549431557,1336.3261565655623,Europa_DER_A1A26_eobs_4004__2021__southbound_01,setup_30km,1885.216146936126,False,265.2853700948288,2150.501517030955,1600.774950778168,False,242.47267061235044,1843.2476213905184
0.0,False,2477.031021995312,2477.031021995312,0.0,False,1400.5223779327637,1400.5223779327637,949.2364954162286,False,395.0007802931958,1344.2372757094245,734.3538226932988,False,378.8968361111636,1113.2506588044623,Europa_DER_A1A26_eobs_4004__2022__southbound_01,setup_30km,1735.2206566846817,False,438.4132414467632,2173.6338981314448,1213.1762071960336,False,440.5640472456792,1653.7402544417128
0.0,False,1340.5092799869046,1340.5092799869046,0.0,False,639.3663398308784,639.3663398308784,-49.33409019321422,True,59.61975796388881,10.285667770674586,-37.536414760238465,True,42.11137351631129,4.574958756072823,Europa_DER_A1A26_eobs_4004__2023__southbound_01,setup_30km,-95.2564364308027,True,105.54210420147729,10.285667770674586,-61.70912582529511,True,66.28408458136794,4.574958756072823
