epoch,train_loss,train_fly_loss,train_movement_class_loss,train_distance_loss,train_direction_loss,train_unweighted_distance_loss,train_unweighted_direction_loss,train_unweighted_total_loss,train_mean_distance_weight,test_loss,test_unweighted_loss,epoch_fly_threshold,epoch_mean_error_km,epoch_migration50_error_mean_km,epoch_stationary_error_mean_km,epoch_gated_mean_error_km,balanced_checkpoint_accepted,balanced_checkpoint_score,balanced_checkpoint_reason,fixed_0_5_fly_f1,fixed_0_5_fly_precision,fixed_0_5_fly_recall,lr
1,3.837533597997578,0.8845635393880448,0.8697557171400024,2.511954803672441,0.44715270110860345,2.0190139992860447,0.5473027973162196,3.394667886338144,1.3701987873833135,2.4803639357944705,2.3273807008954073,0.5892816266417503,14.54432324960769,97.45872048364447,4.832778581131187,13.43040920138743,False,inf,mean_error_too_high,0.6508620689655172,0.606425702811245,0.7023255813953488,0.001
2,2.8223139899117604,0.7649209711429565,0.6837653668742938,1.6928377514579547,0.3872278293348708,1.5264308950650403,0.48950369403047383,2.707045031365037,1.3701987870619947,2.365109529778,2.3534770108297507,0.7041230341047049,14.825028742938857,88.41632904202574,5.640109166855622,13.491966816213694,False,inf,mean_error_too_high,0.6106032906764168,0.5030120481927711,0.7767441860465116,0.001
3,2.673405292541833,0.7385392362538052,0.6717858026130501,1.5784437984147806,0.3769516260074477,1.4318918776961993,0.47644668335541884,2.576600906341224,1.3701987873833135,2.3477271657105727,2.216857944216047,0.7491996950190515,14.17077131013999,90.37786534005475,4.7905178363202445,13.243671329275942,False,inf,mean_error_too_high,0.6085271317829457,0.521594684385382,0.7302325581395349,0.001
4,2.5958072053132994,0.7238933047194365,0.6581302254669107,1.5247168033270824,0.365329141926894,1.3941266456382937,0.46316874252175383,2.514136859348842,1.3701987877046322,2.2324990056595713,2.08519211997883,0.6096343856770545,13.704802045077159,92.14852490881522,4.390768730750061,12.973143510356227,True,12.973143510356227,accepted,0.6779661016949152,0.622568093385214,0.7441860465116279,0.001
5,2.5179702062812455,0.703675095443777,0.6503566977470069,1.4714611884397317,0.3604894099691807,1.3331469629974058,0.456566023858731,2.427694266054508,1.3701987873833135,2.2564559252756946,2.1048099525533916,0.7004366070218384,13.53876610748784,93.59251674234211,4.229050199700016,12.742604507082632,True,12.742604507082632,accepted,0.6695278969957082,0.6215139442231076,0.7255813953488373,0.001
6,2.4576676084667524,0.6883414859238339,0.6508698086693602,1.4327376740319389,0.34774203457922304,1.3169964034602326,0.44760327470913086,2.3918569910558407,1.3701987870619947,2.2440007208492556,2.0737959124007315,0.6485414383560419,13.680380977896991,89.73588400133552,4.356881813953034,12.86272955532923,True,12.86272955532923,accepted,0.683371298405467,0.6696428571428571,0.6976744186046512,0.001
7,2.394010540610054,0.6688927738171704,0.6409419566151909,1.3912023665770046,0.34735983931472036,1.2811582493332196,0.4456838178184797,2.333128404745837,1.3701987877046322,2.2040276270349715,2.039030893793646,0.6934039288503118,13.457949034406862,93.3066216558028,4.094649053607866,12.836833453322264,True,12.836833453322264,accepted,0.6545454545454545,0.5785714285714286,0.7534883720930232,0.001
8,2.308454922267369,0.6468080921635795,0.6354792293191277,1.3303580184509811,0.34483797707647645,1.233861711468658,0.4343159147349972,2.256697576964962,1.3701987873833135,2.229849069908944,2.0859680207913134,0.8337796043138951,13.703941489862396,89.71719880177817,4.406340911245331,12.7890021497789,True,12.7890021497789,accepted,0.6610526315789473,0.6038461538461538,0.7302325581395349,0.001
9,2.226978506360735,0.6372415328604192,0.6223815097963071,1.2659949189569109,0.336293288800273,1.1894649521038538,0.4321191426557351,2.1983614314919855,1.3701987870619947,2.3964038402886403,2.1057629868026693,0.8065216297865845,13.478521162590189,96.43302460081048,3.771102651369734,12.82699141842562,True,12.82699141842562,accepted,0.6695095948827292,0.6181102362204725,0.7302325581395349,0.001
10,2.1738718780224535,0.6222357714593892,0.6188186106656118,1.2387906737083374,0.3162815496927966,1.1585976269367249,0.4068467077219261,2.1389614073735363,1.3701987873833135,2.2895498911968137,2.204451006377804,0.8012537787109613,14.590832655627933,88.032931384451,5.253360597991469,13.324250620706488,False,inf,mean_error_too_high,0.6428571428571429,0.5605536332179931,0.7534883720930232,0.001
