accuracy,balanced_accuracy,best_epoch,best_test_loss,f1,false_negative_rate,false_positive_rate,feature_columns,final_test_loss,fixed_0_5_accuracy,fixed_0_5_balanced_accuracy,fixed_0_5_f1,fixed_0_5_false_negative_rate,fixed_0_5_false_positive_rate,fixed_0_5_fn,fixed_0_5_fp,fixed_0_5_pr_auc,fixed_0_5_precision,fixed_0_5_recall,fixed_0_5_roc_auc,fixed_0_5_specificity,fixed_0_5_threshold,fixed_0_5_tn,fixed_0_5_tp,fly_threshold_km,fn,fp,k,model,n_features,pos_weight,pr_auc,precision,raw_pos_weight,recall,roc_auc,selected_threshold,specificity,split_mode,test_fly_rate,test_samples,threshold,tn,tp,train_fly_rate,train_samples,use_bird_id
0.9571059431524548,0.8767993734823938,21,1.4583459249762603,0.7167235494880546,0.21641791044776118,0.029983342587451417,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",1.4583459249762603,0.9090439276485788,0.8855175814431452,0.5665024630541873,0.1417910447761194,0.08717379233759023,19,157,0.7018844481543131,0.4227941176470588,0.8582089552238806,0.9477984867445117,0.9128262076624097,0.5,1644,115,30.0,29,54,10,compact_with_bird_id,10,10.0,0.7018844481543131,0.660377358490566,12.990958408679928,0.7835820895522388,0.9477984867445117,0.7299329602718354,0.9700166574125486,chronological,0.06925064325332642,1935,0.7299329602718354,1747,105,0.07147473096847534,7737,True
0.9436692506459948,0.7539094533260801,8,1.7656563536449303,0.5725490196078432,0.46715328467153283,0.02502780867630701,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",1.7656563536449303,0.8770025839793282,0.8158111608194019,0.4615384615384615,0.25547445255474455,0.11290322580645161,35,203,0.5477968889685984,0.3344262295081967,0.7445255474452555,0.8951917377783912,0.8870967741935484,0.5,1595,102,30.0,64,45,10,compact_with_bird_id,10,10.0,0.5477968889685984,0.6186440677966102,13.067272727272726,0.5328467153284672,0.8951917377783912,0.8948471785150468,0.974972191323693,stratified,0.0708010345697403,1935,0.8948471785150468,1753,73,0.07108698785305023,7737,True
0.951037786056413,0.844107214098628,11,1.6081177969763036,0.673758865248227,0.2803030303030303,0.031482541499713794,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",1.6081177969763036,0.8845130388504524,0.8748634021959723,0.5123595505617977,0.13636363636363635,0.113909559244419,18,199,0.6803682265313121,0.36421725239616615,0.8636363636363636,0.941223916324088,0.886090440755581,0.5,1548,114,30.0,37,55,20,compact_with_bird_id,10,10.0,0.6803682265313121,0.6333333333333333,13.39463601532567,0.7196969696969697,0.941223916324088,0.8012804493866862,0.9685174585002863,chronological,0.07025013118982315,1879,0.8012804493866862,1692,95,0.06947032362222672,7514,True
0.94252261841405,0.8208159379530805,9,1.6099713593483478,0.6223776223776224,0.32061068702290074,0.03775743707093822,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",1.6099713593483478,0.9079297498669505,0.8481230457491222,0.5411140583554377,0.22137404580152673,0.08237986270022883,29,144,0.5779172980723953,0.4146341463414634,0.7786259541984732,0.9147509913183224,0.9176201372997712,0.5,1604,102,30.0,42,66,20,compact_with_bird_id,10,10.0,0.5779172980723953,0.5741935483870968,13.367112810707457,0.6793893129770993,0.9147509913183224,0.8107300711423159,0.9622425629290617,stratified,0.06971793621778488,1879,0.8107300711423159,1682,89,0.06960340589284897,7514,True
0.9539045553145337,0.8764922928837849,15,1.5482022654337892,0.7079037800687286,0.21374045801526717,0.03327495621716287,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",1.5482022654337892,0.908351409978308,0.8977977121517984,0.5785536159600997,0.11450381679389313,0.08990075890251022,15,154,0.708825107081544,0.42962962962962964,0.8854961832061069,0.9356826780390636,0.9100992410974897,0.5,1559,116,30.0,28,57,30,compact_with_bird_id,10,10.0,0.708825107081544,0.64375,13.40234375,0.7862595419847328,0.9356826780390636,0.7797472024289892,0.9667250437828371,chronological,0.07104121148586273,1844,0.7797472024289892,1656,103,0.06943314522504807,7374,True
0.9419739696312365,0.7788302031776166,18,1.77736554280279,0.5868725868725869,0.4108527131782946,0.0314868804664723,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",1.77736554280279,0.8991323210412148,0.8454087282753633,0.5206185567010309,0.21705426356589147,0.09212827988338193,28,158,0.5421922676833213,0.38996138996138996,0.7829457364341085,0.901647569326734,0.9078717201166181,0.5,1557,101,30.0,53,54,30,compact_with_bird_id,10,10.0,0.5421922676833213,0.5846153846153846,13.346303501945526,0.5891472868217055,0.901647569326734,0.8370893100416288,0.9685131195335277,stratified,0.06995661556720734,1844,0.8370893100416288,1661,76,0.06970436871051788,7374,True
0.9541387024608501,0.8743599397590361,8,1.5735232379345818,0.7092198581560283,0.21875,0.03253012048192771,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",1.5735232379345818,0.9328859060402684,0.8881494728915662,0.6407185628742514,0.1640625,0.05963855421686747,21,99,0.6753217676140412,0.5194174757281553,0.8359375,0.9500094126506025,0.9403614457831325,0.5,1561,107,30.0,28,54,50,compact_with_bird_id,10,10.0,0.6753217676140412,0.6493506493506493,13.188492063492063,0.78125,0.9500094126506025,0.7630092713423072,0.9674698795180723,chronological,0.07158836722373962,1788,0.7630092713423072,1606,100,0.07047965377569199,7151,True
0.9395973154362416,0.7951406796172139,16,1.6849772471442852,0.5939849624060151,0.373015873015873,0.036702767749699154,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",1.6849772471442852,0.883668903803132,0.8127327946822531,0.4693877551020407,0.2698412698412698,0.10469314079422383,34,174,0.5205946850450691,0.3458646616541353,0.7301587301587301,0.8723377838901305,0.8953068592057761,0.5,1488,92,30.0,47,61,50,compact_with_bird_id,10,10.0,0.5205946850450691,0.5642857142857143,13.132411067193676,0.626984126984127,0.8723377838901305,0.7914321474358439,0.9632972322503008,stratified,0.07046979665756226,1788,0.7914321474358439,1601,79,0.07075933367013931,7151,True
0.951421188630491,0.8392083171040965,,,0.6690140845070421,0.291044776119403,0.03053858967240422,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",,0.9105943152454781,0.8656281336239402,0.557544757033248,0.1865671641791045,0.08217656857301499,25,148,0.6675583991744108,0.42412451361867703,0.8134328358208955,0.9313648304838937,0.917823431426985,0.5,1653,109,,39,55,10,logistic_regression_balanced,10,,0.6675583991744108,0.6333333333333333,,0.7089552238805971,0.9313648304838937,0.7850970871562701,0.9694614103275958,chronological,0.06925064325332642,1935,0.7850970871562701,1746,95,0.07147473096847534,7737,
0.9560723514211886,0.8589755276919124,,,0.7017543859649122,0.2537313432835821,0.028317601332593003,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",,0.9565891472868217,0.779817597188958,0.6470588235294118,0.4253731343283582,0.014991671293725709,57,27,0.7095011810837913,0.7403846153846154,0.5746268656716418,0.9471375769680194,0.9850083287062743,0.5,1774,77,,34,51,10,random_forest_balanced,10,,0.7095011810837913,0.6622516556291391,,0.746268656716418,0.9471375769680194,0.28514549620276847,0.971682398667407,chronological,0.06925064325332642,1935,0.28514549620276847,1750,100,0.07147473096847534,7737,
