epoch,train_loss,train_fly_loss,train_distance_loss,train_direction_loss,test_loss,fixed_accuracy,fixed_precision,fixed_recall,fixed_f1,fixed_false_positive_rate,lr
1,3.0440984812329304,1.1121974465146303,1.9874414760832866,0.5005582874561634,2.4086767327102407,0.7541589648798521,0.28939828080229224,0.8487394957983193,0.4316239316239316,0.25752855659397716,0.001
2,2.432466954268281,0.9211390971476402,1.576079314385236,0.3958181162087622,2.1198735638158377,0.9094269870609981,0.5644171779141104,0.773109243697479,0.652482269503546,0.07372793354101766,0.001
3,2.1896922522243423,0.794494267973133,1.399093573723615,0.3933515453955603,1.9652835771909702,0.8881700554528651,0.49523809523809526,0.8739495798319328,0.6322188449848025,0.11007268951194185,0.001
4,2.0229224471199756,0.7368601488978938,1.296026528432497,0.35846583228455015,2.024260042775801,0.9297597042513863,0.6592592592592592,0.7478991596638656,0.7007874015748031,0.04776739356178609,0.001
5,1.959651768097375,0.7182095911278081,1.2404304834258313,0.36011649202727564,1.9412899246497868,0.9066543438077634,0.5473684210526316,0.8739495798319328,0.6731391585760519,0.0893042575285566,0.001
6,1.9232518672943115,0.7008130722257434,1.2258196112849575,0.34702570606952676,1.9381640737466583,0.9316081330868762,0.6415094339622641,0.8571428571428571,0.7338129496402878,0.059190031152647975,0.001
7,1.901040608693403,0.6981276446702079,1.216807685585868,0.33516908760652525,1.8996453183856337,0.933456561922366,0.6598639455782312,0.8151260504201681,0.7293233082706767,0.05192107995846314,0.001
8,1.8638826461023412,0.691517150556314,1.1870132966755498,0.33111076224974034,2.0734480696553,0.8031423290203327,0.34539473684210525,0.8823529411764706,0.4964539007092198,0.2066458982346833,0.001
9,1.859012390020374,0.678765549677357,1.1816130356515402,0.3380165639404008,1.8457328312498364,0.9029574861367837,0.5364583333333334,0.865546218487395,0.662379421221865,0.09241952232606439,0.001
10,1.8320513970309837,0.6650395879243086,1.1665539895761035,0.33297761572376855,1.8993983352470751,0.9149722735674677,0.574585635359116,0.8739495798319328,0.6933333333333334,0.07995846313603323,0.001
11,1.8182706418627952,0.659914079523351,1.1668420770031687,0.3214715296702112,1.9093377687133395,0.8354898336414048,0.39194139194139194,0.8991596638655462,0.5459183673469388,0.17237798546209762,0.001
12,1.8080558056311333,0.6550578992269837,1.1670629960551941,0.3134638661047007,1.9186707049773493,0.9232902033271719,0.6111111111111112,0.8319327731092437,0.704626334519573,0.06542056074766354,0.001
13,1.7787223730422212,0.6375241954974459,1.1439590425456077,0.31600124671256474,1.9262198740805805,0.8391866913123844,0.39215686274509803,0.8403361344537815,0.5347593582887701,0.16095534787123572,0.001
14,1.756346693982038,0.6375283283799501,1.1544907899528687,0.2830917440258421,1.8582125485714613,0.8872458410351202,0.4930232558139535,0.8907563025210085,0.6347305389221558,0.11318795430944964,0.0005
15,1.7076377890687333,0.619183227447397,1.1115273616230201,0.2865188079378301,1.8828648498450542,0.9205175600739371,0.5932203389830508,0.8823529411764706,0.7094594594594594,0.07476635514018691,0.0005
16,1.6374707151472898,0.605384245377151,1.0782866492289052,0.2564919304770595,1.9424812978825596,0.9066543438077634,0.5463917525773195,0.8907563025210085,0.6773162939297125,0.09138110072689512,0.0005
17,1.6166190907166318,0.5827459375651178,1.0648661408979658,0.2603799831845183,2.113674228160527,0.9205175600739371,0.5976331360946746,0.8487394957983193,0.7013888888888888,0.07061266874350987,0.0005
18,1.6130515418519815,0.5840595539748779,1.0619055378679427,0.2591162261702878,1.9879905335784178,0.9094269870609981,0.5580110497237569,0.8487394957983193,0.6733333333333333,0.08307372793354102,0.0005
19,1.5764705304077065,0.5746672682863507,1.052638929564499,0.23649797405420964,2.073769876564717,0.8927911275415896,0.507177033492823,0.8907563025210085,0.6463414634146342,0.10695742471443406,0.00025
