k,fly_threshold_km,train_samples,test_samples,train_fly_rate,test_fly_rate,best_epoch,best_test_loss,final_test_loss,pos_weight,tp,fp,tn,fn,accuracy,precision,recall,specificity,f1,false_positive_rate,false_negative_rate,balanced_accuracy,roc_auc,pr_auc
10,30.0,6972,1744,0.05177854374051094,0.059633027762174606,6,0.5742379030503264,0.5742379030503264,18.31301939058172,90,148,1492,14,0.9071100917431193,0.37815126050420167,0.8653846153846154,0.9097560975609756,0.5263157894736842,0.09024390243902439,0.1346153846153846,0.8875703564727955,0.9502931519699813,0.6667865666110673
20,30.0,6084,1522,0.0374753437936306,0.026281209662556648,11,0.7421677147825193,0.7421677147825193,25.68421052631579,32,330,1152,8,0.7779237844940867,0.08839779005524862,0.8,0.7773279352226721,0.15920398009950248,0.22267206477732793,0.2,0.7886639676113361,0.8631747638326586,0.33641079559651815
30,30.0,5288,1322,0.02723146788775921,0.012102873995900154,2,0.7903683845872417,0.7903683845872417,35.72222222222222,8,270,1036,8,0.789712556732224,0.02877697841726619,0.5,0.7932618683001531,0.05442176870748299,0.20673813169984687,0.5,0.6466309341500766,0.7539720520673813,0.08119942637473646
50,30.0,3841,961,0.019786514341831207,0.00832466222345829,17,0.6524656408628241,0.6524656408628241,49.53947368421053,3,38,915,5,0.9552549427679501,0.07317073170731707,0.375,0.9601259181532005,0.12244897959183672,0.03987408184679958,0.625,0.6675629590766002,0.8386673662119623,0.1889453636549381
