individual_local_identifier,date,temp_2m_celsius,temp_2m_celsius_max,temp_2m_celsius_min,wind_speed_10m,wind_direction_10m,surface_pressure_hpa,mean_sea_level_pressure_hpa,precipitation_mm,cloud_cover,boundary_layer_height,n_weather_points,era5_grid_distance_km_mean,era5_time_diff_hours_max
Angela / DER AY470 (eobs 4001),2018-01-01,15.713287353515625,17.627838,12.817291,4.331546783447266,316.3005065917969,1029.1058349609375,1033.9195556640625,0.0,0.17388807237148285,432.12774658203125,28,14.863675545181978,0.3397222222222222
Angela / DER AY470 (eobs 4001),2018-01-02,15.443251609802246,16.961823,13.635651,4.378662109375,258.2543640136719,1028.46875,1033.7822265625,0.0,0.0,491.9908752441406,30,15.040561253024148,0.3397222222222222
Angela / DER AY470 (eobs 4001),2018-01-03,15.185344696044922,18.879303,12.298248,5.367566108703613,113.37149047851562,1029.0823974609375,1032.6407470703125,0.0,0.0022344416938722134,397.1025085449219,55,14.553504594006084,0.3397222222222222
Angela / DER AY470 (eobs 4001),2018-01-04,14.31887435913086,15.9774475,13.269928,4.736876010894775,295.1070251464844,1027.04296875,1030.097412109375,0.012874603,0.1263914406299591,320.5207214355469,37,14.38021962092874,0.3397222222222222
Angela / DER AY470 (eobs 4001),2018-01-05,16.401885986328125,16.64737,16.156403,8.119705200195312,217.6937255859375,1007.3421630859375,1011.88623046875,0.0872612,0.8662109375,1293.5390625,2,14.836913436716419,0.01138888888888889
Angela / DER AY470 (eobs 4001),2018-01-06,12.312070846557617,13.373932,10.910553,5.4733991622924805,298.22021484375,997.6990966796875,1003.4153442382812,0.0038146973,0.38626569509506226,1071.6649169921875,26,15.123047082325211,0.3397222222222222
Angela / DER AY470 (eobs 4001),2018-01-07,10.258044242858887,11.279694,6.559723,2.968423843383789,276.45013427734375,999.3006591796875,1004.3745727539062,0.08010864,0.5346102118492126,681.7688598632812,37,14.93200873993269,0.3397222222222222
Angela / DER AY470 (eobs 4001),2018-01-08,10.838301658630371,11.645172,9.222076,3.117112398147583,125.64009094238281,1004.6162719726562,1010.283447265625,0.94747543,0.711627721786499,787.5846557617188,34,15.075392304450407,0.3352777777777778
Angela / DER AY470 (eobs 4001),2018-01-10,15.939117431640625,16.009674,15.868561,6.8978166580200195,272.406005859375,1022.9647216796875,1025.051025390625,0.20599365,0.4761505126953125,938.1453247070312,2,14.41611042219721,0.01138888888888889
Angela / DER AY470 (eobs 4001),2018-01-11,14.647505760192871,15.78653,12.966949,4.845160961151123,310.8041687011719,1021.899169921875,1027.4390869140625,0.0,0.4097021520137787,1001.0438842773438,25,15.01784247249249,0.3397222222222222
Angela / DER AY470 (eobs 4001),2018-01-12,12.594833374023438,14.166901,10.172272,2.7757790088653564,314.8807373046875,1022.6954345703125,1024.800537109375,0.0,0.9230222702026367,405.11041259765625,32,14.657041333901956,0.3397222222222222
Angela / DER AY470 (eobs 4001),2018-01-13,12.700398445129395,13.614807,11.368317,4.063653945922852,277.2771301269531,1015.220947265625,1021.0013427734375,0.9932518,0.3784749209880829,539.1699829101562,15,15.168017536584873,0.3352777777777778
Angela / DER AY470 (eobs 4001),2018-01-14,11.930864334106445,12.979401,10.619293,2.994380235671997,314.7821350097656,1013.324951171875,1019.53515625,0.93889236,0.4085344672203064,701.4912109375,21,15.234342735542103,0.3397222222222222
Angela / DER AY470 (eobs 4001),2018-01-15,12.959389686584473,14.724274,10.59903,3.1994469165802,36.858863830566406,1020.5660400390625,1026.29931640625,0.0,0.0430494025349617,593.9522094726562,28,15.039738347379359,0.3397222222222222
