const_velocity_final_rollout_error_km,const_velocity_mean_rollout_error_km,direct_final_rollout_error_km,direct_mean_rollout_error_km,direct_model,lat_max,lat_min,lon_max,lon_min,lstm_final_rollout_error_km,lstm_fly_threshold,lstm_mean_rollout_error_km,lstm_model,lstm_rollout_threshold,observed_days,observed_displacement_km,path_copy_index,path_id,path_year,persistence_final_rollout_error_km,persistence_mean_rollout_error_km,records,rollout_steps,setup,source_bird_id,transformer_final_rollout_error_km,transformer_fly_threshold,transformer_mean_rollout_error_km,transformer_model,transformer_rollout_threshold
4158.38577213014,2028.7606914337473,1617.8733919302579,863.8949731892053,direct_transformer_2l_k7,47.92222675,41.64705355,8.6020267,0.9430285,295.0877315328699,0.820598289114423,270.167356323979,"triline_lstm_2l_k7__distance_only (distance weighted, fly-gated)",0.870598,30,739.2551885667646,1,Louis_DER_AU050_eobs_3264__2021__southbound_01,2021,190.8107325405351,190.42559032833765,78,48,setup_30km,Louis / DER AU050 (eobs 3264),190.8107325405351,0.8995724547840654,190.42559032833765,"triline_transformer_2l_k7__current_bins (distance weighted, fly-gated)",0.949572
34.93579984515639,14.901009908074183,1025.381066228157,621.3239405570038,direct_transformer_2l_k7,47.9113033,41.53766505,8.5728078,0.6143338,29.46117966866473,0.820598289114423,12.527351722307857,"triline_lstm_2l_k7__distance_only (distance weighted, fly-gated)",0.870598,30,918.0872223253929,1,Louis_DER_AU050_eobs_3264__2022__southbound_01,2022,29.46117966866473,12.527351722307857,61,31,setup_30km,Louis / DER AU050 (eobs 3264),29.46117966866473,0.8995724547840654,12.527351722307857,"triline_transformer_2l_k7__current_bins (distance weighted, fly-gated)",0.949572
270.31335295527924,279.05292446837984,423.8980345096426,217.8396946110934,direct_transformer_2l_k7,47.93253095,41.585689900000006,8.5819782,0.6089633,88.98038994518637,0.820598289114423,95.30130080239293,"triline_lstm_2l_k7__distance_only (distance weighted, fly-gated)",0.870598,46,51.55545235761921,1,Louis_DER_AU050_eobs_3264__2023__southbound_01,2023,891.2436996715168,617.0258474194706,59,13,setup_30km,Louis / DER AU050 (eobs 3264),891.2436996715168,0.8995724547840654,617.0258474194706,"triline_transformer_2l_k7__current_bins (distance weighted, fly-gated)",0.949572
1422.6460928288786,523.6755437586186,812.6196360664362,589.91800851182,direct_transformer_2l_k7,47.8112431,34.2576062,8.89145865,-6.580606,162.3328559528193,0.820598289114423,206.22371410936123,"triline_lstm_2l_k7__distance_only (distance weighted, fly-gated)",0.870598,83,55.614786674948434,1,Mirabell_plus_DER_AN910_eobs_3907__2019__southbound_01,2019,1925.77232282804,1496.1088755700018,139,56,setup_30km,Mirabell + / DER AN910 (eobs 3907),1925.77232282804,0.8995724547840654,1496.1088755700018,"triline_transformer_2l_k7__current_bins (distance weighted, fly-gated)",0.949572
2258.3434942690683,910.0666937573632,608.4884409457815,306.78561152669477,direct_transformer_2l_k7,47.8120999,38.5332653,8.8864307,-4.36811535,96.27804133203975,0.820598289114423,249.51815601612205,"triline_lstm_2l_k7__distance_only (distance weighted, fly-gated)",0.870598,76,213.05029991147262,1,Mirabell_plus_DER_AN910_eobs_3907__2020__southbound_01,2020,1273.057687668923,1051.8196461660764,92,16,setup_30km,Mirabell + / DER AN910 (eobs 3907),228.25877806999912,0.8995724547840654,345.6156306332796,"triline_transformer_2l_k7__current_bins (distance weighted, fly-gated)",0.949572
2170.410561035294,894.7647935277904,1578.4093363792151,866.1096300089075,direct_transformer_2l_k7,49.89955475,41.5241537,8.538199500000001,0.43048175,228.05925218107583,0.820598289114423,224.7114133249957,"triline_lstm_2l_k7__distance_only (distance weighted, fly-gated)",0.870598,38,121.1423927728407,1,Sara_plus_DER_AU017_eobs_3941__2019__southbound_01,2019,1009.5723332824965,926.1513503537541,80,42,setup_30km,Sara + / DER AU017 (eobs 3941),1009.5723332824965,0.8995724547840654,926.1513503537541,"triline_transformer_2l_k7__current_bins (distance weighted, fly-gated)",0.949572
4150.553387658273,1744.169288406533,1497.1799354565162,1038.3107682960426,direct_transformer_2l_k7,47.8074046,41.53495435000001,8.88580825,0.4972057,46.3067895547834,0.820598289114423,80.73170160602011,"triline_lstm_2l_k7__distance_only (distance weighted, fly-gated)",0.870598,65,63.08789080416817,1,Sierit_DER_AN858_eobs2561__2020__southbound_01,2020,897.6793414475592,877.8363891002459,139,74,setup_30km,Sierit  / DER AN858 (eobs2561),897.6793414475592,0.8995724547840654,877.8363891002459,"triline_transformer_2l_k7__current_bins (distance weighted, fly-gated)",0.949572
1886.0217865002203,779.0468764283528,748.1621120114199,576.5238562460645,direct_transformer_2l_k7,47.8109808,41.53828245,8.8902253,0.5537554,292.20593638837306,0.820598289114423,233.84562414987732,"triline_lstm_2l_k7__distance_only (distance weighted, fly-gated)",0.870598,31,112.41877922382425,1,Sierit_DER_AN858_eobs2561__2021__southbound_01,2021,844.0610264501253,752.8186210474078,66,35,setup_30km,Sierit  / DER AN858 (eobs2561),237.67072795281572,0.8995724547840654,187.07766514494716,"triline_transformer_2l_k7__current_bins (distance weighted, fly-gated)",0.949572
715.1709469005762,357.96270973097455,399.1744690206479,238.0654132880082,direct_transformer_2l_k7,47.7542203,41.5365587,9.06452145,0.0522777,6.6040034150822695,0.820598289114423,5.505491079667578,"triline_lstm_2l_k7__distance_only (distance weighted, fly-gated)",0.870598,30,955.5466267824416,1,Zozu_plus_DER_AL581_eobs2541__2019__southbound_01,2019,6.6040034150822695,5.505491079667578,145,115,setup_30km,Zozu + / DER AL581 (eobs2541),6.6040034150822695,0.8995724547840654,5.505491079667578,"triline_transformer_2l_k7__current_bins (distance weighted, fly-gated)",0.949572
3058.6654226807264,1221.3313547327823,969.2920061518445,744.2653230234865,direct_transformer_2l_k7,47.8050238,41.5266963,9.0594015,0.4314196,185.06688627721343,0.820598289114423,207.56562839007464,"triline_lstm_2l_k7__distance_only (distance weighted, fly-gated)",0.870598,83,70.1236088413661,1,Zozu_plus_DER_AL581_eobs2541__2020__southbound_01,2020,901.4103861683019,774.5059033413545,136,53,setup_30km,Zozu + / DER AL581 (eobs2541),173.62170209558164,0.8995724547840654,178.44343480806884,"triline_transformer_2l_k7__current_bins (distance weighted, fly-gated)",0.949572
14424.17723858551,6549.373788543222,2906.400788664744,1713.6626367877486,direct_transformer_2l_k7,48.2204565,38.9345508,7.8322641,-5.755673,672.9854792695436,0.8280894752421045,539.4054061641411,"triline_lstm_2l_k7__distance_only (distance weighted, fly-gated)",0.928089,65,139.79296078423565,1,Angela_DER_AY470_eobs_4001__2019__southbound_01,2019,1353.981894397694,1213.4503903849188,185,120,setup_10km,Angela / DER AY470 (eobs 4001),498.8494822564691,0.8266496497392655,479.0309077803016,"triline_transformer_4l_k7__mild_bins (distance weighted, fly-gated)",0.92665
3163.500578504747,1315.6575135464705,237.46367228964118,197.66936312805774,direct_transformer_2l_k7,48.1524172,36.284087,7.795102,-6.0298849,616.2076367823117,0.8280894752421045,515.8276608466801,"triline_lstm_2l_k7__distance_only (distance weighted, fly-gated)",0.928089,62,160.1834623140796,1,Angela_DER_AY470_eobs_4001__2020__southbound_01,2020,1570.58449784494,1305.780991274527,93,31,setup_10km,Angela / DER AY470 (eobs 4001),738.6602654238009,0.8266496497392655,607.0607069498365,"triline_transformer_4l_k7__mild_bins (distance weighted, fly-gated)",0.92665
