epoch,train_loss,train_fly_loss,train_distance_loss,train_direction_loss,test_loss,fixed_0_5_fly_f1,fixed_0_5_fly_precision,fixed_0_5_fly_recall,lr
1,3.29908011448802,1.0295246634597919,1.9383045974809008,0.6625017141458508,2.6493776360192713,0.5029239766081871,0.3760932944606414,0.7588235294117647,0.001
2,2.806286157830145,0.9173659327510545,1.6048030998702412,0.5682342745460115,2.4561848935710744,0.5508474576271186,0.4304635761589404,0.7647058823529411,0.001
3,2.602045467732794,0.8645749309146691,1.4550406201269181,0.5648598347045137,2.232363330678887,0.6324324324324324,0.585,0.6882352941176471,0.001
4,2.392093817539885,0.8044257689535949,1.3130329336124074,0.549270208078039,2.2851684503326135,0.6018957345971564,0.503968253968254,0.7470588235294118,0.001
5,2.3268563870801944,0.7904668736810384,1.2588712770264603,0.5550364210733424,2.1838791101564983,0.6630727762803235,0.6119402985074627,0.7235294117647059,0.001
6,2.248169629719253,0.7692306005359798,1.2098951925852381,0.5380876470295206,2.23507926071858,0.672514619883041,0.6686046511627907,0.6764705882352942,0.001
7,2.233747232863731,0.7561533565662264,1.2141264978927075,0.5269348069391938,2.2109271519285474,0.6313131313131313,0.5530973451327433,0.7352941176470589,0.001
8,2.1707145815195306,0.7367264436705937,1.1748978119901279,0.5181805992743445,2.2530998222929273,0.6481994459833795,0.612565445026178,0.6882352941176471,0.001
9,2.1898512430420203,0.7305667250522183,1.198316697712967,0.521935662368309,2.1707532542470203,0.6744186046511628,0.6666666666666666,0.6823529411764706,0.001
10,2.1167839886741144,0.7238934587639052,1.1398780416428713,0.5060249462365664,2.3829198615167586,0.6404199475065616,0.5781990521327014,0.7176470588235294,0.001
11,2.1330020846368645,0.7187258618816651,1.1520492204236015,0.5244540249353856,2.2455247739767192,0.587962962962963,0.4847328244274809,0.7470588235294118,0.001
12,2.0940364995857705,0.7040715846689263,1.1409747912350512,0.4979802882935776,2.2541899368194467,0.676737160120846,0.6956521739130435,0.6588235294117647,0.001
13,2.079624191449883,0.7084389228697405,1.1310122275308407,0.4803460926753977,2.2565768399652844,0.6707317073170732,0.6962025316455697,0.6470588235294118,0.001
14,2.0223617972375725,0.6805760291940404,1.0964787024006164,0.4906141174037884,2.3372378856108944,0.6205128205128206,0.55,0.711764705882353,0.0005
15,1.9120938614864667,0.6477434080982385,1.0275978526434484,0.4735052279315462,2.2986203447507623,0.6418338108882521,0.6256983240223464,0.6588235294117647,0.0005
16,1.8536431348698417,0.626329998432378,0.997808553925724,0.4590091601757818,2.397188117014943,0.6323907455012854,0.5616438356164384,0.7235294117647059,0.0005
17,1.7898389784113096,0.5953240939958259,0.9695127572237674,0.45000428424084254,2.4625933386261494,0.6480446927374303,0.6170212765957447,0.6823529411764706,0.0005
18,1.7613629816640548,0.5911381155417719,0.9447537139471269,0.4509422937184297,2.4977107691456344,0.6402266288951842,0.6174863387978142,0.6647058823529411,0.0005
19,1.725007702594764,0.5695256244893876,0.9379902038027751,0.43498374089295677,2.570801481962645,0.6350974930362117,0.6031746031746031,0.6705882352941176,0.00025
20,1.6304331879078129,0.5323256989063044,0.8852612148150939,0.42569258142531247,2.6258329075938454,0.6280991735537189,0.5906735751295337,0.6705882352941176,0.00025
21,1.6037681519213975,0.5117723658102498,0.8791887958477252,0.42561398140824436,2.703412729358497,0.6627565982404692,0.6608187134502924,0.6647058823529411,0.00025
22,1.5824898020837752,0.5188004794270626,0.8529905722013463,0.4213975155640001,2.613070214742213,0.5965770171149144,0.5104602510460251,0.7176470588235294,0.00025
23,1.5358239553331667,0.49152483886138787,0.8432640194231834,0.40207018247373444,2.6947849938256905,0.6199460916442048,0.572139303482587,0.6764705882352942,0.00025
24,1.4823161751417488,0.4651678573622501,0.8141967060385261,0.4059032288805174,2.889697267916639,0.6199460916442048,0.572139303482587,0.6764705882352942,0.000125
25,1.4447759616837703,0.4462218712085717,0.7991482235367329,0.39881171542262855,2.9169561884980544,0.605263157894737,0.5476190476190477,0.6764705882352942,0.000125
26,1.4330451975468126,0.4362598208645135,0.7906907152336318,0.41218933060958074,2.9994056070578075,0.5922077922077922,0.5302325581395348,0.6705882352941176,0.000125
27,1.3959164348415438,0.4223033898749325,0.7776436991920753,0.39193868785821134,3.0722752807321037,0.6005509641873278,0.5647668393782384,0.6411764705882353,0.000125
28,1.3707425285839991,0.4152636348429978,0.7583883084122663,0.3941811747890303,3.0827544489100767,0.5917808219178082,0.5538461538461539,0.6352941176470588,0.000125
29,1.3366826252664084,0.40992339933205,0.7357391560804822,0.38204016791253786,3.1001857900355088,0.5962059620596206,0.5527638190954773,0.6470588235294118,6.25e-05
