direct_final_rollout_error_km_delta_weather_minus_noweather,direct_final_rollout_error_km_improved,direct_final_rollout_error_km_noweather,direct_final_rollout_error_km_weather,direct_mean_rollout_error_km_delta_weather_minus_noweather,direct_mean_rollout_error_km_improved,direct_mean_rollout_error_km_noweather,direct_mean_rollout_error_km_weather,lstm_final_rollout_error_km_delta_weather_minus_noweather,lstm_final_rollout_error_km_improved,lstm_final_rollout_error_km_noweather,lstm_final_rollout_error_km_weather,lstm_mean_rollout_error_km_delta_weather_minus_noweather,lstm_mean_rollout_error_km_improved,lstm_mean_rollout_error_km_noweather,lstm_mean_rollout_error_km_weather,path_id,setup,transformer_final_rollout_error_km_delta_weather_minus_noweather,transformer_final_rollout_error_km_improved,transformer_final_rollout_error_km_noweather,transformer_final_rollout_error_km_weather,transformer_mean_rollout_error_km_delta_weather_minus_noweather,transformer_mean_rollout_error_km_improved,transformer_mean_rollout_error_km_noweather,transformer_mean_rollout_error_km_weather
2316.643319340015,False,589.7574693247294,2906.400788664744,1095.3979858831617,False,618.2646509045868,1713.6626367877486,236.26682495981507,False,37.47499126265657,273.74181622247164,199.10488731039598,False,129.40563637174014,328.5105236821361,Angela_DER_AY470_eobs_4001__2019__southbound_01,setup_30km,-152.3438926622477,True,418.1614512881442,265.8175586258965,48.6926471698477,False,287.2009301554451,335.8935773252928
-101.38718538135541,True,338.8508576709966,237.4636722896412,6.928594007666021,False,190.7407691203917,197.6693631280577,397.8829102982745,False,579.6445558824665,977.527466180741,210.77575090667267,False,612.2547261895842,823.0304770962568,Angela_DER_AY470_eobs_4001__2020__southbound_01,setup_30km,842.7578116190543,False,288.5988625419089,1131.3566741609632,568.6064706120753,False,411.7124960971463,980.3189667092216
-347.9419323607168,True,396.0235769842237,48.08164462350689,-59.229031880704596,True,177.79151920049716,118.56248731979257,-298.5454419731602,True,1471.5565590466963,1173.011117073536,-170.02336489328945,True,823.4970132909683,653.4736483976789,Angela_DER_AY470_eobs_4001__2022__southbound_01,setup_30km,341.14807159035115,False,965.0050934894088,1306.15316507976,161.90227369145316,False,574.6223777845443,736.5246514759974
3.54365231253513,False,430.2723857190642,433.8160380315993,-28.971522399307673,True,402.22580152985824,373.2542791305506,193.613429628728,False,549.3782306917861,742.9916603205141,55.17887701401651,False,393.2856102447847,448.4644872588012,Angela_DER_AY470_eobs_4001__2023__southbound_01,setup_30km,561.286569824749,False,303.6003020043072,864.8868718290562,256.940218023562,False,245.78655209670816,502.7267701202702
755.1197287188454,False,299.67349012391486,1054.7932188427603,412.8099878830746,False,317.88427872072504,730.6942666037996,-429.70994190640545,True,1194.6162965303974,764.906354623992,-371.06325157725144,True,973.909746895608,602.8464953183566,Ed_plus_AAL16_e-obs_7210__2021__southbound_01,setup_30km,213.32190460043887,False,364.266473368348,577.5883779687869,147.57816096971504,False,329.61653801969754,477.1946989894126
1288.2682900761038,False,1617.983599132081,2906.251889208185,463.8792413111503,False,1089.683251311101,1553.5624926222513,66.06080530519517,False,182.71826412569,248.7790694308852,23.402384447213137,False,263.1034159033157,286.50580035052883,Europa_DER_A1A26_eobs_4004__2019__southbound_01,setup_30km,-254.28337682507353,True,491.468643595503,237.18526677042948,5.61111642915381,False,317.34628348988053,322.95739991903434
198.46672726893917,False,1186.737347890078,1385.204075159017,74.92432907510397,False,666.4559732286314,741.3803023037353,48.275098310847454,False,284.90561189466064,333.1807102055081,-1.2910248847541652,True,280.1065623683382,278.815537483584,Europa_DER_A1A26_eobs_4004__2020__southbound_01,setup_30km,190.61172508719434,False,186.10318687157385,376.7149119587682,202.11079671158006,False,116.55506704146178,318.66586375304183
740.6620637637561,False,1425.313876712075,2165.975940475831,34.228645911689,False,1074.249521725259,1108.478167636948,19.454194072138364,False,227.9576553699988,247.41184944213717,2.6850893732113263,False,227.13480612110425,229.81989549431557,Europa_DER_A1A26_eobs_4004__2021__southbound_01,setup_30km,-214.73138870765553,True,480.01675880248433,265.2853700948288,-114.63914299570581,True,357.11181360805625,242.47267061235044
1139.2637077987174,False,1337.7673141965947,2477.031021995312,528.811525501284,False,871.7108524314797,1400.5223779327637,56.644743593612475,False,338.35603669958334,395.0007802931958,22.833270267471335,False,356.0635658436923,378.8968361111636,Europa_DER_A1A26_eobs_4004__2022__southbound_01,setup_30km,63.5114844790902,False,374.901756967673,438.4132414467632,205.089530628888,False,235.4745166167912,440.5640472456792
109.42211885099391,False,1231.0871611359107,1340.5092799869046,-300.3470664732034,True,939.7134063040818,639.3663398308784,-188.0043559358122,True,247.62411389970103,59.61975796388881,-113.4366727561142,True,155.5480462724255,42.11137351631129,Europa_DER_A1A26_eobs_4004__2023__southbound_01,setup_30km,-302.7229551022338,True,408.2650593037111,105.54210420147729,-224.7901171938853,True,291.07420177525324,66.28408458136794
972.6270364560704,False,645.2463554741877,1617.873391930258,339.85292145719893,False,524.0420517320064,863.8949731892053,4.939887124822619,False,86.14254671935424,91.08243384417686,0.8405050332895172,False,102.80313733274876,103.64364236603828,Louis_DER_AU050_eobs_3264__2021__southbound_01,setup_30km,-409.9669313588592,True,488.08154855317616,78.11461719431696,-270.2283810410874,True,348.4515888402425,78.22320779915508
342.0261790854412,False,683.3548871427157,1025.381066228157,125.5241856371673,False,495.79975491983646,621.3239405570038,38.29281148265279,False,12.867310461400328,51.16012194405312,27.213267315934587,False,10.209605800754424,37.42287311668901,Louis_DER_AU050_eobs_3264__2022__southbound_01,setup_30km,-344.35299652414744,True,388.99489845973625,44.64190193558882,-219.62131214657006,True,245.9831140106895,26.361801864119432
54.008500090237646,False,369.889534419405,423.8980345096426,-77.0644987717213,True,294.9041933828147,217.8396946110934,89.52908222749613,False,268.6371614937884,358.16624372128456,67.14442285854906,False,170.4249840582415,237.56940691679057,Louis_DER_AU050_eobs_3264__2023__southbound_01,setup_30km,276.6759776674603,False,242.6797131566901,519.3556908241504,218.65982670497374,False,132.4782388883413,351.13806559331505
