best_epoch,best_test_loss,feature_mode,final_test_loss,fixed_0_5_fly_accuracy,fixed_0_5_fly_f1,fixed_0_5_fly_false_positive_rate,fixed_0_5_fly_fn,fixed_0_5_fly_fp,fixed_0_5_fly_pr_auc,fixed_0_5_fly_precision,fixed_0_5_fly_recall,fixed_0_5_fly_roc_auc,fixed_0_5_fly_specificity,fixed_0_5_fly_threshold,fixed_0_5_fly_tn,fixed_0_5_fly_tp,fly_accuracy,fly_error_mean_km,fly_f1,fly_false_positive_rate,fly_fn,fly_fp,fly_pr_auc,fly_precision,fly_recall,fly_roc_auc,fly_specificity,fly_threshold,fly_tn,fly_tp,gated_fly_error_mean_km,gated_mean_error_km,gated_median_error_km,gated_migration50_error_mean_km,gated_p90_error_km,gated_p95_error_km,gated_stationary_error_mean_km,k,kind,mean_error_km,median_error_km,migration50_error_mean_km,model,model_family,n_layers,p90_error_km,p95_error_km,params,pos_weight,raw_pos_weight,runtime_seconds,setup,setup_fly_threshold_km,stationary_error_mean_km,test_fly_rate,test_samples,train_fly_rate,train_samples
18,1.5815970068671954,full,1.5815970068671954,0.9204851752021563,0.7005076142131978,0.07807807807807808,14,104,0.7518527640791751,0.5702479338842975,0.9078947368421053,0.9532410700173857,0.9219219219219219,0.5,1228,138,0.9413746630727763,90.03509633782052,0.7418397626112758,0.04504504504504504,27,60,0.7518527640791751,0.6756756756756757,0.8223684210526315,0.9532410700173857,0.954954954954955,0.7492940788017586,1272,125,90.50947354891866,12.664712508492956,0.8082727182331646,101.43616820923523,36.16859695482038,76.8655924458394,3.781526563939871,7,triline_transformer,13.127720862849173,1.4881598376932033,100.89560962087928,triline_transformer_2l_k7,triline,2,36.12907261932865,76.8655924458394,425094,6.485498108448928,6.485498108448928,14.895885705947876,setup_30km,30.0,4.351503841681273,0.10242587327957153,1484,0.1335916370153427,5936
21,1.6481506014504144,full,1.6481506014504144,0.9150664697193501,0.6916890080428955,0.07883817427385892,20,95,0.74166646916874,0.5758928571428571,0.8657718120805369,0.9477679690328329,0.921161825726141,0.5,1110,129,0.9387001477104875,88.77896901146944,0.7477203647416414,0.04730290456431535,26,57,0.74166646916874,0.6833333333333333,0.825503355704698,0.9477679690328329,0.9526970954356846,0.7142087233893107,1148,123,89.28715330871546,13.258564414633334,0.8082727182331646,99.06858913611437,38.678904683826666,84.86371827281323,3.857518982916953,14,triline_transformer,13.871373426134808,1.8737806727777593,98.6111201954278,triline_transformer_2l_k14,triline,2,38.678904683826666,84.86371827281323,425990,6.836468885672938,6.836468885672938,12.505920171737671,setup_30km,30.0,4.608940445043638,0.11004431545734406,1354,0.1276084929704666,5415
18,1.912631218622881,full,1.912631218622881,0.8983364140480592,0.6474358974358975,0.09553478712357218,18,92,0.6749185932552269,0.5233160621761658,0.8487394957983193,0.9301726921298115,0.9044652128764278,0.5,871,101,0.9343807763401109,98.21329025416026,0.7340823970037453,0.05192107995846314,21,50,0.6749185932552269,0.6621621621621622,0.8235294117647058,0.9301726921298115,0.9480789200415368,0.7339458500500768,913,98,98.40738726292409,14.243623257629608,0.913077646627792,111.99569754462105,41.28048977090293,76.9959639921123,3.8433242787822084,30,triline_transformer,14.782390775449361,1.7531477917075962,111.83408601950589,triline_transformer_2l_k30,triline,2,41.12596431224657,76.9959639921123,428038,7.656,7.656,8.173979043960571,setup_30km,30.0,4.472653456688613,0.10998151451349258,1082,0.11552680283784866,4328
18,1.8896310637927098,full,1.8896310637927098,0.9149722735674677,0.6870748299319729,0.07684319833852545,18,74,0.7005688284640551,0.5771428571428572,0.8487394957983193,0.9341867588156759,0.9231568016614745,0.5,889,101,0.933456561922366,97.31749501098896,0.7272727272727273,0.05088265835929388,23,49,0.7005688284640551,0.6620689655172414,0.8067226890756303,0.9341867588156759,0.9491173416407062,0.7432823832368013,914,96,97.7466867453423,14.082776136770136,0.9067717026281084,110.91745477474421,37.642096182000124,83.74379700951586,3.744245126988114,30,triline_transformer,14.61901183964539,1.974169683731788,110.6250973885928,triline_transformer_3l_k30,triline,3,37.34352782750939,83.74379700951586,626310,7.656,7.656,9.681060314178467,setup_30km,30.0,4.399780793549977,0.10998151451349258,1082,0.11552680283784866,4328
11,1.6700565692870766,full,1.6700565692870766,0.9171159029649596,0.6821705426356589,0.07732732732732733,20,103,0.7289455105927336,0.5617021276595745,0.868421052631579,0.9421477398451082,0.9226726726726727,0.5,1229,132,0.9400269541778976,88.49409178892684,0.7278287461773699,0.042042042042042045,33,56,0.7289455105927336,0.68,0.7828947368421053,0.9421477398451082,0.9579579579579579,0.8206606209278107,1276,119,89.00365501034216,12.493121783664408,0.7989740346881319,99.54025149672903,36.97109853215178,75.52661444527313,3.762190064103585,7,triline_transformer,13.036031993724055,1.6253699426341799,99.0597829914134,triline_transformer_4l_k7,triline,4,34.45330131471189,75.52661444527313,821638,6.485498108448928,6.485498108448928,12.025209665298462,setup_30km,30.0,4.425202347424637,0.10242587327957153,1484,0.1335916370153427,5936
16,1.6807238597813525,full,1.6807238597813525,0.9039881831610044,0.6717171717171717,0.0946058091286307,16,114,0.7313552656865234,0.5384615384615384,0.8926174496644296,0.9454120137013006,0.9053941908713693,0.5,1091,133,0.9379615952732644,87.91399937422935,0.7469879518072289,0.04896265560165975,25,59,0.7313552656865234,0.6775956284153005,0.8322147651006712,0.9454120137013006,0.9510373443983402,0.7469300241023302,1146,124,88.22535324712834,13.354196615902698,0.8082727182331646,98.11305422236022,44.230765599608105,79.51743293466178,4.09626936440675,14,triline_transformer,13.901337640570944,1.6008254197816494,97.87252782195245,triline_transformer_4l_k14,triline,4,42.69577353186285,79.51743293466178,822534,6.836468885672938,6.836468885672938,12.729695558547974,setup_30km,30.0,4.749564529936006,0.11004431545734406,1354,0.1276084929704666,5415
15,1.9344212180365035,full,1.9344212180365035,0.9131238447319778,0.6824324324324323,0.07892004153686397,18,76,0.7064107854379306,0.5706214689265536,0.8487394957983193,0.9279736816845118,0.9210799584631361,0.5,887,101,0.9362292051756007,88.69294791137894,0.7315175097276265,0.04569055036344756,25,44,0.7064107854379306,0.6811594202898551,0.7899159663865546,0.9279736816845118,0.9543094496365524,0.8343007854069584,919,94,89.10765903665929,13.903965402912057,0.8979083327838877,98.03509028948008,47.15226155827199,83.26480688538932,4.610881765927717,30,triline_transformer,14.483113900607934,1.943928506214796,97.75695186999977,triline_transformer_4l_k30,triline,4,46.916374603895505,83.26480688538932,824582,7.656,7.656,10.556619882583618,setup_30km,30.0,5.3128436542094395,0.10998151451349258,1082,0.11552680283784866,4328
11,1.5526432496196818,full,1.5526432496196818,0.9245283018867925,0.7037037037037037,0.06981981981981981,19,93,0.7599597457513854,0.588495575221239,0.875,0.9492057847321005,0.9301801801801802,0.5,1239,133,0.9440700808625337,92.01313575107733,0.7446153846153847,0.03903903903903904,31,52,0.7599597457513854,0.6994219653179191,0.7960526315789473,0.9492057847321005,0.960960960960961,0.7607313522545155,1280,121,92.48483651069031,12.452631190141826,0.7989740346881319,104.6257963912147,37.519537576702355,78.66304471732936,3.319826979388544,7,triline_lstm,13.0181196450608,1.6978708497531618,104.28830546907754,triline_lstm_2l_k7,triline,2,35.93780808891856,78.66304471732936,291846,6.485498108448928,6.485498108448928,6.759214878082275,setup_30km,30.0,4.003673362692547,0.10242587327957153,1484,0.1335916370153427,5936
12,1.6838178000738913,full,1.6838178000738913,0.9209748892171344,0.7019498607242339,0.06970954356846473,23,84,0.7422226360832019,0.6,0.8456375838926175,0.9372135119329417,0.9302904564315353,0.5,1121,126,0.9446085672082718,90.89520899350137,0.7572815533980581,0.03568464730290456,32,43,0.7422226360832019,0.73125,0.785234899328859,0.9372135119329417,0.9643153526970955,0.8216897025960498,1162,117,91.38502363968112,13.236118968444902,0.7822581243602424,102.4416782892162,42.29057224330301,75.23928818200125,3.5728934115866497,14,triline_lstm,13.79047807717914,1.6267077957464346,102.01039355628598,triline_lstm_2l_k14,triline,2,41.96598068503119,75.23928818200125,291846,6.836468885672938,6.836468885672938,6.2372753620147705,setup_30km,30.0,4.256366121550913,0.11004431545734406,1354,0.1276084929704666,5415
6,1.7767452241753035,full,1.7767452241753035,0.9297597042513863,0.7342657342657342,0.06438213914849429,14,62,0.7643199198780257,0.6287425149700598,0.8823529411764706,0.950216846863356,0.9356178608515057,0.5,901,105,0.9390018484288355,98.46247337889493,0.7380952380952381,0.04153686396677051,26,40,0.7643199198780257,0.6992481203007519,0.7815126050420168,0.950216846863356,0.9584631360332295,0.8406565284170211,923,93,98.92408271033382,13.96723012252476,0.8943188355892671,112.41433368511399,37.609651645680145,82.27893954969934,3.4689274662949803,30,triline_lstm,14.31551255972364,1.4604504805246101,112.06889628299359,triline_lstm_2l_k30,triline,2,36.72103899988279,82.27893954969934,291846,7.656,7.656,4.097244024276733,setup_30km,30.0,3.917289987053461,0.10998151451349258,1082,0.11552680283784866,4328
